shot,classifier,feature_set,true_label,predicted_label,count
1,knn,corrected,deer_horn,deer_horn,23
1,knn,corrected,deer_horn,flower_pinch,1
1,knn,corrected,deer_horn,orchid_finger,2
1,knn,corrected,deer_horn,orchid_palm,5
1,knn,corrected,deer_horn,prayer_beads,0
1,knn,corrected,deer_horn,three_finger_bent,7
1,knn,corrected,flower_pinch,deer_horn,2
1,knn,corrected,flower_pinch,flower_pinch,8
1,knn,corrected,flower_pinch,orchid_finger,1
1,knn,corrected,flower_pinch,orchid_palm,12
1,knn,corrected,flower_pinch,prayer_beads,0
1,knn,corrected,flower_pinch,three_finger_bent,15
1,knn,corrected,orchid_finger,deer_horn,12
1,knn,corrected,orchid_finger,flower_pinch,6
1,knn,corrected,orchid_finger,orchid_finger,14
1,knn,corrected,orchid_finger,orchid_palm,2
1,knn,corrected,orchid_finger,prayer_beads,0
1,knn,corrected,orchid_finger,three_finger_bent,4
1,knn,corrected,orchid_palm,deer_horn,1
1,knn,corrected,orchid_palm,flower_pinch,5
1,knn,corrected,orchid_palm,orchid_finger,4
1,knn,corrected,orchid_palm,orchid_palm,29
1,knn,corrected,orchid_palm,prayer_beads,3
1,knn,corrected,orchid_palm,three_finger_bent,2
1,knn,corrected,prayer_beads,deer_horn,4
1,knn,corrected,prayer_beads,flower_pinch,2
1,knn,corrected,prayer_beads,orchid_finger,1
1,knn,corrected,prayer_beads,orchid_palm,0
1,knn,corrected,prayer_beads,prayer_beads,28
1,knn,corrected,prayer_beads,three_finger_bent,1
1,knn,corrected,three_finger_bent,deer_horn,0
1,knn,corrected,three_finger_bent,flower_pinch,0
1,knn,corrected,three_finger_bent,orchid_finger,0
1,knn,corrected,three_finger_bent,orchid_palm,0
1,knn,corrected,three_finger_bent,prayer_beads,0
1,knn,corrected,three_finger_bent,three_finger_bent,36
1,knn,joint_angle,deer_horn,deer_horn,15
1,knn,joint_angle,deer_horn,flower_pinch,1
1,knn,joint_angle,deer_horn,orchid_finger,8
1,knn,joint_angle,deer_horn,orchid_palm,14
1,knn,joint_angle,deer_horn,prayer_beads,0
1,knn,joint_angle,deer_horn,three_finger_bent,0
1,knn,joint_angle,flower_pinch,deer_horn,1
1,knn,joint_angle,flower_pinch,flower_pinch,11
1,knn,joint_angle,flower_pinch,orchid_finger,0
1,knn,joint_angle,flower_pinch,orchid_palm,14
1,knn,joint_angle,flower_pinch,prayer_beads,1
1,knn,joint_angle,flower_pinch,three_finger_bent,11
1,knn,joint_angle,orchid_finger,deer_horn,12
1,knn,joint_angle,orchid_finger,flower_pinch,2
1,knn,joint_angle,orchid_finger,orchid_finger,21
1,knn,joint_angle,orchid_finger,orchid_palm,1
1,knn,joint_angle,orchid_finger,prayer_beads,0
1,knn,joint_angle,orchid_finger,three_finger_bent,2
1,knn,joint_angle,orchid_palm,deer_horn,2
1,knn,joint_angle,orchid_palm,flower_pinch,4
1,knn,joint_angle,orchid_palm,orchid_finger,3
1,knn,joint_angle,orchid_palm,orchid_palm,28
1,knn,joint_angle,orchid_palm,prayer_beads,7
1,knn,joint_angle,orchid_palm,three_finger_bent,0
1,knn,joint_angle,prayer_beads,deer_horn,4
1,knn,joint_angle,prayer_beads,flower_pinch,0
1,knn,joint_angle,prayer_beads,orchid_finger,1
1,knn,joint_angle,prayer_beads,orchid_palm,7
1,knn,joint_angle,prayer_beads,prayer_beads,22
1,knn,joint_angle,prayer_beads,three_finger_bent,2
1,knn,joint_angle,three_finger_bent,deer_horn,0
1,knn,joint_angle,three_finger_bent,flower_pinch,2
1,knn,joint_angle,three_finger_bent,orchid_finger,0
1,knn,joint_angle,three_finger_bent,orchid_palm,1
1,knn,joint_angle,three_finger_bent,prayer_beads,0
1,knn,joint_angle,three_finger_bent,three_finger_bent,33
1,knn,optimized_action,deer_horn,deer_horn,23
1,knn,optimized_action,deer_horn,flower_pinch,1
1,knn,optimized_action,deer_horn,orchid_finger,4
1,knn,optimized_action,deer_horn,orchid_palm,3
1,knn,optimized_action,deer_horn,prayer_beads,0
1,knn,optimized_action,deer_horn,three_finger_bent,7
1,knn,optimized_action,flower_pinch,deer_horn,3
1,knn,optimized_action,flower_pinch,flower_pinch,6
1,knn,optimized_action,flower_pinch,orchid_finger,0
1,knn,optimized_action,flower_pinch,orchid_palm,12
1,knn,optimized_action,flower_pinch,prayer_beads,0
1,knn,optimized_action,flower_pinch,three_finger_bent,17
1,knn,optimized_action,orchid_finger,deer_horn,17
1,knn,optimized_action,orchid_finger,flower_pinch,4
1,knn,optimized_action,orchid_finger,orchid_finger,9
1,knn,optimized_action,orchid_finger,orchid_palm,4
1,knn,optimized_action,orchid_finger,prayer_beads,0
1,knn,optimized_action,orchid_finger,three_finger_bent,4
1,knn,optimized_action,orchid_palm,deer_horn,0
1,knn,optimized_action,orchid_palm,flower_pinch,3
1,knn,optimized_action,orchid_palm,orchid_finger,4
1,knn,optimized_action,orchid_palm,orchid_palm,32
1,knn,optimized_action,orchid_palm,prayer_beads,1
1,knn,optimized_action,orchid_palm,three_finger_bent,4
1,knn,optimized_action,prayer_beads,deer_horn,3
1,knn,optimized_action,prayer_beads,flower_pinch,1
1,knn,optimized_action,prayer_beads,orchid_finger,1
1,knn,optimized_action,prayer_beads,orchid_palm,2
1,knn,optimized_action,prayer_beads,prayer_beads,28
1,knn,optimized_action,prayer_beads,three_finger_bent,1
1,knn,optimized_action,three_finger_bent,deer_horn,1
1,knn,optimized_action,three_finger_bent,flower_pinch,0
1,knn,optimized_action,three_finger_bent,orchid_finger,1
1,knn,optimized_action,three_finger_bent,orchid_palm,2
1,knn,optimized_action,three_finger_bent,prayer_beads,0
1,knn,optimized_action,three_finger_bent,three_finger_bent,32
1,knn,raw,deer_horn,deer_horn,20
1,knn,raw,deer_horn,flower_pinch,1
1,knn,raw,deer_horn,orchid_finger,7
1,knn,raw,deer_horn,orchid_palm,8
1,knn,raw,deer_horn,prayer_beads,0
1,knn,raw,deer_horn,three_finger_bent,2
1,knn,raw,flower_pinch,deer_horn,4
1,knn,raw,flower_pinch,flower_pinch,5
1,knn,raw,flower_pinch,orchid_finger,2
1,knn,raw,flower_pinch,orchid_palm,19
1,knn,raw,flower_pinch,prayer_beads,3
1,knn,raw,flower_pinch,three_finger_bent,5
1,knn,raw,orchid_finger,deer_horn,11
1,knn,raw,orchid_finger,flower_pinch,2
1,knn,raw,orchid_finger,orchid_finger,14
1,knn,raw,orchid_finger,orchid_palm,8
1,knn,raw,orchid_finger,prayer_beads,2
1,knn,raw,orchid_finger,three_finger_bent,1
1,knn,raw,orchid_palm,deer_horn,4
1,knn,raw,orchid_palm,flower_pinch,7
1,knn,raw,orchid_palm,orchid_finger,6
1,knn,raw,orchid_palm,orchid_palm,26
1,knn,raw,orchid_palm,prayer_beads,0
1,knn,raw,orchid_palm,three_finger_bent,1
1,knn,raw,prayer_beads,deer_horn,6
1,knn,raw,prayer_beads,flower_pinch,2
1,knn,raw,prayer_beads,orchid_finger,6
1,knn,raw,prayer_beads,orchid_palm,8
1,knn,raw,prayer_beads,prayer_beads,3
1,knn,raw,prayer_beads,three_finger_bent,11
1,knn,raw,three_finger_bent,deer_horn,4
1,knn,raw,three_finger_bent,flower_pinch,6
1,knn,raw,three_finger_bent,orchid_finger,7
1,knn,raw,three_finger_bent,orchid_palm,7
1,knn,raw,three_finger_bent,prayer_beads,5
1,knn,raw,three_finger_bent,three_finger_bent,7
1,knn,raw_pca11,deer_horn,deer_horn,25
1,knn,raw_pca11,deer_horn,flower_pinch,0
1,knn,raw_pca11,deer_horn,orchid_finger,7
1,knn,raw_pca11,deer_horn,orchid_palm,3
1,knn,raw_pca11,deer_horn,prayer_beads,1
1,knn,raw_pca11,deer_horn,three_finger_bent,2
1,knn,raw_pca11,flower_pinch,deer_horn,6
1,knn,raw_pca11,flower_pinch,flower_pinch,3
1,knn,raw_pca11,flower_pinch,orchid_finger,3
1,knn,raw_pca11,flower_pinch,orchid_palm,15
1,knn,raw_pca11,flower_pinch,prayer_beads,8
1,knn,raw_pca11,flower_pinch,three_finger_bent,3
1,knn,raw_pca11,orchid_finger,deer_horn,5
1,knn,raw_pca11,orchid_finger,flower_pinch,0
1,knn,raw_pca11,orchid_finger,orchid_finger,27
1,knn,raw_pca11,orchid_finger,orchid_palm,0
