shot,classifier,metric,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
1,svm,accuracy,joint_angle_minus_raw,0.2391304347826087,0.05652173913043479,0.11078260869565218,2,0,0,0.5
1,svm,macro_f1,joint_angle_minus_raw,0.27797987052456463,0.06542367843208222,0.12823040972688116,2,0,0,0.5
1,svm,accuracy,joint_angle_minus_raw_pca11,0.05217391304347824,0.08695652173913043,0.17043478260869563,1,0,1,1.0
1,svm,macro_f1,joint_angle_minus_raw_pca11,0.08837381179813406,0.06124216570922933,0.12003464479008946,2,0,0,0.5
1,svm,accuracy,corrected_minus_joint_angle,0.034782608695652195,0.060869565217391286,0.11930434782608691,1,0,1,1.0
1,svm,macro_f1,corrected_minus_joint_angle,0.023194579958877054,0.050472880660916236,0.0989268460953958,1,0,1,1.0
1,svm,accuracy,optimized_action_minus_joint_angle,0.0,0.02608695652173909,0.05113043478260862,1,0,1,1.0
1,svm,macro_f1,optimized_action_minus_joint_angle,-0.021633276971510546,0.021472697219476505,0.04208648655017395,0,0,2,0.5
1,svm,accuracy,optimized_action_minus_corrected,-0.034782608695652195,0.034782608695652195,0.0681739130434783,0,1,1,1.0
1,svm,macro_f1,optimized_action_minus_corrected,-0.0448278569303876,0.02900018344143973,0.05684035954522187,0,0,2,0.5
1,knn,accuracy,joint_angle_minus_raw,0.2391304347826087,0.05652173913043479,0.11078260869565218,2,0,0,0.5
1,knn,macro_f1,joint_angle_minus_raw,0.27797987052456463,0.06542367843208222,0.12823040972688116,2,0,0,0.5
1,knn,accuracy,joint_angle_minus_raw_pca11,0.05217391304347824,0.08695652173913043,0.17043478260869563,1,0,1,1.0
1,knn,macro_f1,joint_angle_minus_raw_pca11,0.08837381179813406,0.06124216570922933,0.12003464479008946,2,0,0,0.5
1,knn,accuracy,corrected_minus_joint_angle,0.034782608695652195,0.060869565217391286,0.11930434782608691,1,0,1,1.0
1,knn,macro_f1,corrected_minus_joint_angle,0.023194579958877054,0.050472880660916236,0.0989268460953958,1,0,1,1.0
1,knn,accuracy,optimized_action_minus_joint_angle,0.0,0.02608695652173909,0.05113043478260862,1,0,1,1.0
1,knn,macro_f1,optimized_action_minus_joint_angle,-0.021633276971510546,0.021472697219476505,0.04208648655017395,0,0,2,0.5
1,knn,accuracy,optimized_action_minus_corrected,-0.034782608695652195,0.034782608695652195,0.0681739130434783,0,1,1,1.0
1,knn,macro_f1,optimized_action_minus_corrected,-0.0448278569303876,0.02900018344143973,0.05684035954522187,0,0,2,0.5
1,rf,accuracy,joint_angle_minus_raw,0.30000000000000004,0.013043478260869573,0.025565217391304358,2,0,0,0.5
1,rf,macro_f1,joint_angle_minus_raw,0.33339757600925335,0.04628155440979573,0.0907118466431996,2,0,0,0.5
1,rf,accuracy,joint_angle_minus_raw_pca11,0.14782608695652175,0.01739130434782607,0.03408695652173909,2,0,0,0.5
1,rf,macro_f1,joint_angle_minus_raw_pca11,0.17843238966879715,0.013176071471302453,0.025825100083752803,2,0,0,0.5
1,rf,accuracy,corrected_minus_joint_angle,0.017391304347826042,0.008695652173913049,0.017043478260869573,2,0,0,0.5
1,rf,macro_f1,corrected_minus_joint_angle,0.00677536082468011,0.01952266412925896,0.03826442169334756,1,0,1,1.0
1,rf,accuracy,optimized_action_minus_joint_angle,0.0,0.034782608695652195,0.0681739130434783,1,0,1,1.0
1,rf,macro_f1,optimized_action_minus_joint_angle,-0.005446576254937552,0.049622705195145944,0.09726050218248605,1,0,1,1.0
1,rf,accuracy,optimized_action_minus_corrected,-0.017391304347826042,0.026086956521739146,0.051130434782608716,1,0,1,1.0
1,rf,macro_f1,optimized_action_minus_corrected,-0.012221937079617662,0.030100041065886984,0.05899608048913848,1,0,1,1.0
1,mlp,accuracy,joint_angle_minus_raw,0.24782608695652175,0.03913043478260869,0.07669565217391304,2,0,0,0.5
1,mlp,macro_f1,joint_angle_minus_raw,0.2830528024417382,0.05484335057421136,0.10749296712545425,2,0,0,0.5
1,mlp,accuracy,joint_angle_minus_raw_pca11,0.08695652173913043,0.11304347826086958,0.22156521739130436,1,0,1,1.0
1,mlp,macro_f1,joint_angle_minus_raw_pca11,0.12293765837962717,0.11488071197815197,0.22516619547717787,2,0,0,0.5
1,mlp,accuracy,corrected_minus_joint_angle,-0.03478260869565217,0.06956521739130431,0.13634782608695645,1,0,1,1.0
1,mlp,macro_f1,corrected_minus_joint_angle,-0.03331110286451236,0.05568765125403838,0.10914779645791521,1,0,1,1.0
1,mlp,accuracy,optimized_action_minus_joint_angle,-0.021739130434782622,0.03043478260869567,0.05965217391304351,1,0,1,1.0
