sequence_id,label,frame_index,landmark_id,finger_group,corruption_type,severity,duration,random_seed
0078bb88405b,prayer_beads,0,0,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,1,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,2,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,3,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,4,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,5,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,6,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,7,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,8,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,9,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,10,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,11,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,12,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,13,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,14,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,15,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,16,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,17,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,18,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,19,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,0,20,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,0,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,1,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,2,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,3,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,4,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,5,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,6,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,7,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,8,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,9,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,10,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,11,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,12,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,13,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,14,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,15,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,16,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,17,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,18,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,19,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,1,20,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,0,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,1,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,2,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,3,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,4,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,5,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,6,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,7,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,8,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,9,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,10,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,11,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,12,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,13,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,14,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,15,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,16,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,17,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,18,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,19,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,2,20,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,0,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,1,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,2,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,3,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,4,all,gaussian,medium,0,42
0078bb88405b,prayer_beads,3,5,all,gaussian,medium,0,42
