method,corruption_type,num_instances,corrupted_joint_mae_mean,corrupted_joint_mae_std,all_joint_mae_mean,all_joint_mae_std,visible_joint_mae_mean,visible_joint_mae_std,recovery_ratio_mean,recovery_ratio_std,velocity_error_mean,velocity_error_std,acceleration_error_mean,acceleration_error_std,amplitude_retention_median_mean,amplitude_retention_median_std,temporal_lag_frames_mean,temporal_lag_frames_std
Automatic Confidence,gaussian,2,9.395504426234304,0.32401475090369036,9.395504426234304,0.32401475090369036,nan,nan,0.00585558105562789,0.07387291161844833,4.126226783644162,0.3506848238650506,5.135191986912668,0.31199224620977795,1.1604245057388893,0.07047495254964076,3.5,0.5
Automatic Confidence,occlusion,2,3.2784355554190725,1.5813991099915754,3.0480782477977795,1.0870189576833025,3.0326681895221643,1.1563684133052359,0.005213048290671984,0.006081713460309668,3.6946149300855016,1.3862773225942961,5.717574856852337,2.3273925811167446,0.9021051194513422,0.0442571036747772,1.0,0.0
Automatic Confidence,spike,2,9.954918427754457,6.964344377755427,5.776805569573649,3.11859604323845,5.717342102422132,3.064245876450991,0.755799039458602,0.20262675214117443,3.813347202751812,1.0263475373937414,5.779105994747544,1.6194600304461835,0.9889124122292615,0.006433760308663938,1.0,0.0
Corrupted,gaussian,2,9.478965745677709,0.37844003415575234,9.478965745677709,0.37844003415575234,nan,nan,0.0,0.0,10.943757225257208,0.12327578566149988,18.907612093930382,0.4723615515497901,1.605708935233333,0.20844450201102915,0.0,0.0
Corrupted,occlusion,2,3.2860198974609376,1.5695968627929688,0.08754783584958031,0.050395822112178384,0.0,0.0,0.0,0.0,0.07481137294726996,0.02450114924733232,0.11251002225008877,0.03027867403897372,1.0,0.0,0.0,0.0
Corrupted,spike,2,54.89934575557709,17.034051537513733,0.8097422467522966,0.280157712233928,0.0,0.0,0.0,0.0,0.606202407284135,0.17593361312855782,1.2306792462797314,0.379600795746401,1.0,0.0,0.0,0.0
Kalman,gaussian,2,9.691895349872398,0.08417104772823514,9.691895349872398,0.08417104772823514,nan,nan,-0.023740643927257887,0.03199224521562466,2.821387559837663,0.4529466533024957,4.178861611089821,0.4519527105688026,0.5646517718838144,0.12364767508482252,5.0,0.0
Kalman,occlusion,2,4.799185943603516,0.33061294555664045,5.443856751763976,0.6402171447679597,5.459311525859812,0.6458746495962773,-0.9544729960874538,1.0341835213033672,3.8634797645974297,1.1714273205421468,6.196001136664188,2.318360765052564,0.3310526947490818,0.033200289223403456,3.0,1.0
Kalman,spike,2,15.331052780151367,5.587127049763997,6.428347162248186,0.6346056663258279,6.2929913366983365,0.7319335074527933,0.7259347076135017,0.016733983291873533,4.116710219314794,0.9253034144497372,6.194706025987127,1.5587347934555846,0.37361510001364573,0.029945521751408605,3.0,0.0
One-Euro,gaussian,2,8.489683890347434,0.1755660915166981,8.489683890347434,0.1755660915166981,nan,nan,0.10219550297841501,0.05436576836135515,3.2821489988058756,0.05515849607795742,4.888853909016474,0.14233765675723076,0.7917087273507224,0.21656228077362222,2.0,1.0
One-Euro,occlusion,2,3.5272895812988283,1.0940666198730469,3.501326297268723,0.49208837928193994,3.495016074431076,0.5329161179409334,-0.18468367501377925,0.23292894861106817,3.323041949317517,0.9991015715367482,5.370867373726584,1.9420458793640136,0.5970748566308581,0.004597114931098434,1.0,0.0
One-Euro,spike,2,26.601118723551433,10.991766611735027,4.935815644430948,0.6595601813220755,4.60851276777163,0.8448208411577987,0.5325797073614228,0.05518654576939053,3.8277189973112824,0.8474463524756493,5.704409377253423,1.4538938015384955,0.6223944288614782,0.04638096057754648,1.5,0.5
Oracle Confidence,gaussian,2,13.928847020724003,1.17650902231133,13.928847020724003,1.17650902231133,nan,nan,-0.46683071124006037,0.06555583958432243,2.7772782064178436,0.5219458271161264,4.15675228660348,0.565739548635728,0.0,0.0,nan,nan
Oracle Confidence,occlusion,2,8.103250122070314,3.0749542236328127,0.2132000985083642,0.10436252494911095,0.0,0.0,-1.6158192492960102,0.31370091961164626,0.16096050856442728,0.08809962162481391,0.22739962953509707,0.12095029426343513,1.0,0.0,0.0,0.0
Oracle Confidence,spike,2,12.836336135864258,10.390807469685873,0.18095430998072295,0.1439008453416565,0.0,0.0,0.6762938828950638,0.28970899256744015,0.21404646549498638,0.16324912440833866,0.36452060814692216,0.2745838366521027,1.0,0.0,0.0,0.0
