sequence_id,label,split
00d53103d2db,orchid_palm,development
013813bfd4b6,three_finger_bent,development
01fd6a3af833,flower_pinch,development
02031cd71838,orchid_finger,development
02788771595a,prayer_beads,development
029acf1c8098,orchid_palm,development
04e16016884a,orchid_finger,development
05fccc72741b,orchid_finger,development
065ced8f3f3c,deer_horn,development
077732e35af3,orchid_finger,development
07d55faaaef1,orchid_palm,development
0811126d80b5,deer_horn,development
08f6838eb763,deer_horn,development
09dc2f057497,prayer_beads,development
0cc3fe974e06,prayer_beads,development
0d850ed38621,three_finger_bent,development
0da65ec5dfa1,flower_pinch,development
0dbeb1a8df16,deer_horn,development
0de105d64406,orchid_finger,development
0e3664e2254e,orchid_palm,development
0e4f4ee4e14c,flower_pinch,development
0e8fb1328a81,orchid_palm,development
102f03365f11,orchid_palm,development
10669b510bec,orchid_palm,development
13271a043d83,orchid_finger,development
13b67119bca1,prayer_beads,development
13b760fe42f8,prayer_beads,development
144ec3480b65,flower_pinch,development
14b9a0194276,orchid_palm,development
15b1b2a699ed,three_finger_bent,development
167a4c6fc138,three_finger_bent,development
17403ac8aaef,deer_horn,development
17dd78dd74ea,deer_horn,development
18921f341339,orchid_finger,development
196af66c4870,orchid_palm,development
19d69d349b91,orchid_palm,development
1ac2d6ad98c0,orchid_finger,development
1b440a811b8d,three_finger_bent,development
1bdd3f18777d,orchid_palm,development
1c84fb7a8f72,flower_pinch,development
1cabad167392,orchid_palm,development
1cd49ab74b3e,three_finger_bent,development
1d0e62a6a7aa,orchid_palm,development
1f834441de71,deer_horn,development
215a4cade2a6,prayer_beads,development
21cf94ae0db2,three_finger_bent,development
22258c77b24a,three_finger_bent,development
223f5619f740,flower_pinch,development
2294550ff000,three_finger_bent,development
22cf7a87c9ab,orchid_palm,development
23475596218f,orchid_palm,development
24335f186a87,orchid_palm,development
2472e1c1ad51,flower_pinch,development
247c348c21f7,deer_horn,development
251f6006a2a2,flower_pinch,development
26299f73f3f3,prayer_beads,development
27cef767e437,flower_pinch,development
27d4d7ce2acb,orchid_finger,development
284106f49a48,deer_horn,development
28963d343c56,orchid_finger,development
28d14f2d48f6,orchid_palm,development
297c992a3f01,three_finger_bent,development
2a8a7deb3ecb,prayer_beads,development
2a93c274a81c,orchid_finger,development
2c08816ba325,orchid_finger,development
2c1e23d635ff,orchid_finger,development
2c21941e57f9,deer_horn,development
2c611fe52599,orchid_palm,development
2d237e4a1d0b,deer_horn,development
2d78255194cb,orchid_finger,development
2dedc2a68a21,flower_pinch,development
2df654ae7a73,orchid_finger,development
2f6a97017de9,three_finger_bent,development
3077ba49d2d6,orchid_finger,development
31310173430f,three_finger_bent,development
31eb091e0bb6,three_finger_bent,development
325261946ec7,deer_horn,development
32ddc31572ea,deer_horn,development
33bda61ed38a,orchid_finger,development
3470642f312f,orchid_palm,development
3682f386ff1c,prayer_beads,development
374b01f70a69,three_finger_bent,development
379735a15bb8,prayer_beads,development
37a21bbfb2e1,orchid_palm,development
37a478f65207,orchid_finger,development
385de3b26d97,flower_pinch,development
38d177749246,deer_horn,development
392a69adcef6,flower_pinch,development
3942ffd00cbd,deer_horn,development
3ae3dfcde5c7,flower_pinch,development
3c2319a95c1a,prayer_beads,development
3d45f17da2ea,flower_pinch,development
3d5cfe36147b,flower_pinch,development
3ec659725d6d,orchid_finger,development
3fe08dead7c2,deer_horn,development
412c0b227fc0,three_finger_bent,development
422b75765199,orchid_finger,development
42a4ec684008,orchid_finger,development
435ce8fb33a5,deer_horn,development
44141acbcc3a,prayer_beads,development
44ce576d45ae,flower_pinch,development
4517781a2c8f,orchid_palm,development
4597aaed3875,deer_horn,development
46c0b04a88e9,three_finger_bent,development
475b632197d9,orchid_finger,development
4816b5a56406,flower_pinch,development
492ec5de579e,prayer_beads,development
49e9f07e201b,deer_horn,development
4a163017caff,flower_pinch,development
