repeat,shot,classifier,feature_set,training,accuracy,macro_f1,selected_parameters
0,3,svm,raw,fixed,0.3565217391304348,0.34723280524922795,
0,3,svm,raw,nested_tuned,0.33043478260869563,0.3108821733821734,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
0,3,knn,raw,fixed,0.3217391304347826,0.31448220093897256,
0,3,knn,raw,nested_tuned,0.30434782608695654,0.25349344310154603,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}"
0,3,mlp,raw,fixed,0.4260869565217391,0.41926038286332407,
0,3,mlp,raw,nested_tuned,0.4260869565217391,0.41926038286332407,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
0,3,svm,raw_pca11,fixed,0.5565217391304348,0.5669125588047011,
0,3,svm,raw_pca11,nested_tuned,0.5652173913043478,0.574906719952092,"{""model__C"": 0.1, ""model__gamma"": ""scale""}"
0,3,knn,raw_pca11,fixed,0.5304347826086957,0.5243643217520927,
0,3,knn,raw_pca11,nested_tuned,0.5304347826086957,0.5045454545454545,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}"
0,3,mlp,raw_pca11,fixed,0.6,0.5979802397937779,
0,3,mlp,raw_pca11,nested_tuned,0.6,0.5979802397937779,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
0,3,svm,raw_pca17,fixed,0.6260869565217392,0.6280803305293393,
0,3,svm,raw_pca17,nested_tuned,0.6608695652173913,0.6478317149307715,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
0,3,knn,raw_pca17,fixed,0.6086956521739131,0.6086472307422209,
0,3,knn,raw_pca17,nested_tuned,0.5130434782608696,0.5167858009391191,"{""model__n_neighbors"": 9, ""model__weights"": ""distance""}"
0,3,mlp,raw_pca17,fixed,0.6695652173913044,0.6887999652705535,
0,3,mlp,raw_pca17,nested_tuned,0.6086956521739131,0.6135502079619727,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
0,3,svm,joint_angle,fixed,0.7304347826086957,0.7474946458178165,
0,3,svm,joint_angle,nested_tuned,0.7217391304347827,0.7270406554028744,"{""model__C"": 0.1, ""model__gamma"": 0.01}"
0,3,knn,joint_angle,fixed,0.6956521739130435,0.691662946982096,
0,3,knn,joint_angle,nested_tuned,0.7130434782608696,0.7144734960524435,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
0,3,mlp,joint_angle,fixed,0.7217391304347827,0.7206252402680974,
0,3,mlp,joint_angle,nested_tuned,0.7565217391304347,0.755458867958868,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
0,3,svm,corrected,fixed,0.782608695652174,0.789004277834065,
0,3,svm,corrected,nested_tuned,0.782608695652174,0.789004277834065,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
0,3,knn,corrected,fixed,0.6869565217391305,0.6812048377513272,
0,3,knn,corrected,nested_tuned,0.7130434782608696,0.7146224690713442,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
0,3,mlp,corrected,fixed,0.782608695652174,0.7827116210243146,
0,3,mlp,corrected,nested_tuned,0.7478260869565218,0.7475956904528335,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64, 32]}"
0,3,svm,optimized_action,fixed,0.7913043478260869,0.7987554187804501,
0,3,svm,optimized_action,nested_tuned,0.5130434782608696,0.47739821950348266,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
0,3,knn,optimized_action,fixed,0.7043478260869566,0.6985544440697864,
0,3,knn,optimized_action,nested_tuned,0.7304347826086957,0.7329674029162522,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
0,3,mlp,optimized_action,fixed,0.7478260869565218,0.7537994165901143,
0,3,mlp,optimized_action,nested_tuned,0.7217391304347827,0.7152172127781884,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}"
0,3,svm,optimized_full,fixed,0.5304347826086957,0.5220700546498418,
0,3,svm,optimized_full,nested_tuned,0.41739130434782606,0.4045882216032113,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
0,3,knn,optimized_full,fixed,0.4,0.3724031427163732,
0,3,knn,optimized_full,nested_tuned,0.40869565217391307,0.39733611826928206,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
0,3,mlp,optimized_full,fixed,0.48695652173913045,0.4872987777012545,
0,3,mlp,optimized_full,nested_tuned,0.48695652173913045,0.4872987777012545,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
1,3,svm,raw,fixed,0.4260869565217391,0.43212378447313887,
1,3,svm,raw,nested_tuned,0.4260869565217391,0.43212378447313887,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
1,3,knn,raw,fixed,0.3565217391304348,0.349771027345398,
1,3,knn,raw,nested_tuned,0.3652173913043478,0.34252779899838726,"{""model__n_neighbors"": 7, ""model__weights"": ""distance""}"
1,3,mlp,raw,fixed,0.41739130434782606,0.4170149167268982,
1,3,mlp,raw,nested_tuned,0.41739130434782606,0.4170149167268982,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
1,3,svm,raw_pca11,fixed,0.5391304347826087,0.5543456382078673,
1,3,svm,raw_pca11,nested_tuned,0.4260869565217391,0.39004152894313077,"{""model__C"": 0.1, ""model__gamma"": 1.0}"
1,3,knn,raw_pca11,fixed,0.5130434782608696,0.5090660782733953,
1,3,knn,raw_pca11,nested_tuned,0.5043478260869565,0.49969404796991007,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}"
1,3,mlp,raw_pca11,fixed,0.5043478260869565,0.5248933265062298,
1,3,mlp,raw_pca11,nested_tuned,0.5043478260869565,0.5248933265062298,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}"
1,3,svm,raw_pca17,fixed,0.6,0.6046815231468932,
1,3,svm,raw_pca17,nested_tuned,0.6,0.6046815231468932,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
1,3,knn,raw_pca17,fixed,0.6086956521739131,0.6204729401914166,
1,3,knn,raw_pca17,nested_tuned,0.6086956521739131,0.6204729401914166,"{""model__n_neighbors"": 3, ""model__weights"": ""distance""}"
1,3,mlp,raw_pca17,fixed,0.6434782608695652,0.6429809772267017,
1,3,mlp,raw_pca17,nested_tuned,0.6086956521739131,0.6137830834674688,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}"
1,3,svm,joint_angle,fixed,0.6782608695652174,0.6836542769140808,
1,3,svm,joint_angle,nested_tuned,0.7043478260869566,0.7006151519474922,"{""model__C"": 1.0, ""model__gamma"": ""scale""}"
