classifier,feature_set,training,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,most_common_parameters,most_common_parameter_count
knn,corrected,fixed,20,0.6856521739130435,0.05684023974652414,0.6816971986847584,0.06571615077174724,,
knn,corrected,nested_tuned,20,0.691304347826087,0.07857425178439983,0.6865004020973704,0.08622014539706314,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",13
knn,joint_angle,fixed,20,0.6882608695652175,0.04959381326132949,0.6882808920592238,0.050066059448148695,,
knn,joint_angle,nested_tuned,20,0.7034782608695653,0.06644639097306891,0.7006483896729727,0.07092831774917913,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",11
knn,optimized_action,fixed,20,0.678695652173913,0.05059009070838675,0.6719062517438948,0.05730564822139932,,
knn,optimized_action,nested_tuned,20,0.6973913043478261,0.06452384855335355,0.6903838939692973,0.07414110387753003,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",14
knn,optimized_full,fixed,20,0.4143478260869565,0.050724430641399414,0.40472834766597715,0.05328981262007611,,
knn,optimized_full,nested_tuned,20,0.40043478260869564,0.07272575827603447,0.38691269937304046,0.07854911427475644,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",9
knn,raw,fixed,20,0.3456521739130435,0.043813921707029566,0.3329551261117265,0.04476643397545745,,
knn,raw,nested_tuned,20,0.34652173913043477,0.04913428226566268,0.33127328086132996,0.05111763007309655,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",10
knn,raw_pca11,fixed,20,0.5352173913043478,0.057777030515581945,0.5300114193242286,0.05931365779961539,,
knn,raw_pca11,nested_tuned,20,0.538695652173913,0.061639540006796986,0.5333962037391838,0.06417745142172475,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",12
knn,raw_pca17,fixed,20,0.5830434782608696,0.07194174286691753,0.5788664605537924,0.07942008316935437,,
knn,raw_pca17,nested_tuned,20,0.5904347826086956,0.07127783176112407,0.5856395632360495,0.07448177405052146,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",15
mlp,corrected,fixed,20,0.7326086956521739,0.06023740053687952,0.7307878634084963,0.06346895253509072,,
mlp,corrected,nested_tuned,20,0.7208695652173913,0.06148139712804707,0.7165180332134282,0.0668073002427382,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}",5
mlp,joint_angle,fixed,20,0.7295652173913044,0.053029221177354174,0.7300568157796947,0.053207425891123185,,
mlp,joint_angle,nested_tuned,20,0.7308695652173913,0.0470269198536995,0.7302058273253994,0.04836923498290974,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}",7
mlp,optimized_action,fixed,20,0.7247826086956521,0.05467034736406357,0.7230659313649888,0.0596053611276524,,
mlp,optimized_action,nested_tuned,20,0.6908695652173914,0.05638612493394242,0.6853552025863568,0.06123388623811703,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32]}",6
mlp,optimized_full,fixed,20,0.46173913043478254,0.06895931788837163,0.45247684994626536,0.06987077687923794,,
mlp,optimized_full,nested_tuned,20,0.4499999999999999,0.06650184414061071,0.4422281933372596,0.06755009326427897,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}",4
mlp,raw,fixed,20,0.39565217391304347,0.04429664565895662,0.38327792069763655,0.04667116333948278,,
mlp,raw,nested_tuned,20,0.38608695652173913,0.04411704658770721,0.37437114128741594,0.04798466941604889,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [32]}",7
mlp,raw_pca11,fixed,20,0.5904347826086956,0.061481397128047066,0.5888022265799526,0.0609779798634157,,
mlp,raw_pca11,nested_tuned,20,0.5817391304347828,0.05998739628176411,0.5825002883000236,0.05990509896968021,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}",9
mlp,raw_pca17,fixed,20,0.6382608695652175,0.04852454409844766,0.6356264839770841,0.05285720661995931,,
mlp,raw_pca17,nested_tuned,20,0.6160869565217391,0.05944131830100218,0.6128439900245415,0.06394940595927968,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [128, 64]}",7
svm,corrected,fixed,20,0.7499999999999999,0.05128776445321727,0.7516110013972871,0.05565348767005467,,
svm,corrected,nested_tuned,20,0.6873913043478261,0.09731654739547344,0.6779599544114393,0.11011265278124138,"{""model__C"": 0.1, ""model__gamma"": 1.0}",6
svm,joint_angle,fixed,20,0.723913043478261,0.05760664475430567,0.728114079235264,0.05553203513846094,,
svm,joint_angle,nested_tuned,20,0.7082608695652174,0.07823550313540946,0.7066442062391621,0.08260931847865118,"{""model__C"": 0.1, ""model__gamma"": ""scale""}",7
svm,optimized_action,fixed,20,0.7252173913043478,0.05651504977138059,0.72678995640035,0.060297003922606326,,
svm,optimized_action,nested_tuned,20,0.6621739130434784,0.09957471000884682,0.6515260277103347,0.1161039762169636,"{""model__C"": 0.1, ""model__gamma"": 1.0}",5
svm,optimized_full,fixed,20,0.44695652173913053,0.05803329987291681,0.44860954008350645,0.056834129048208656,,
svm,optimized_full,nested_tuned,20,0.4269565217391304,0.06257849513155503,0.4302301807160382,0.06240265589878164,"{""model__C"": 5.0, ""model__gamma"": ""scale""}",7
svm,raw,fixed,20,0.3847826086956522,0.03377620105982949,0.37305065609263405,0.03601893041615421,,
svm,raw,nested_tuned,20,0.3521739130434783,0.037147842370945795,0.34009063611829016,0.03926261180610254,"{""model__C"": 5.0, ""model__gamma"": ""scale""}",5
svm,raw_pca11,fixed,20,0.5804347826086957,0.04894926195303348,0.5872098952190299,0.04982909989548698,,
svm,raw_pca11,nested_tuned,20,0.5352173913043479,0.06816387459367262,0.5314654957947637,0.08235450549940122,"{""model__C"": 0.1, ""model__gamma"": 1.0}",6
svm,raw_pca17,fixed,20,0.6169565217391304,0.06188439737883371,0.6231930271169781,0.06707078988819568,,
svm,raw_pca17,nested_tuned,20,0.5630434782608696,0.10020300755025871,0.5542348771968076,0.11351842576385646,"{""model__C"": 0.1, ""model__gamma"": 1.0}",7
