classifier,feature_set,training,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,most_common_parameters,most_common_parameter_count
knn,corrected,fixed,2,0.7,0.013043478260869545,0.6990600629174883,0.017855225166161115,,
knn,corrected,nested_tuned,2,0.7,0.013043478260869545,0.69911650356657,0.015505965504774233,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",1
knn,joint_angle,fixed,2,0.7043478260869565,0.008695652173913049,0.6969952402798147,0.0053322932977188375,,
knn,joint_angle,nested_tuned,2,0.7391304347826086,0.026086956521739146,0.7438635199471113,0.029390023894667827,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",2
knn,optimized_action,fixed,2,0.6739130434782609,0.0304347826086957,0.6694746115920389,0.029079832477747536,,
knn,optimized_action,nested_tuned,2,0.7434782608695651,0.013043478260869545,0.74988074177006,0.016913338853807858,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",2
knn,optimized_full,fixed,2,0.391304347826087,0.008695652173913049,0.37238719021055067,1.5952505822564023e-05,,
knn,optimized_full,nested_tuned,2,0.37826086956521743,0.03043478260869567,0.37127903181828814,0.026057086450993916,"{""model__n_neighbors"": 1, ""model__weights"": ""uniform""}",2
knn,raw,fixed,2,0.3391304347826087,0.017391304347826098,0.33212661414218525,0.017644413203212722,,
knn,raw,nested_tuned,2,0.3347826086956522,0.030434782608695643,0.2980106210499667,0.04451717794842061,"{""model__n_neighbors"": 3, ""model__weights"": ""uniform""}",1
knn,raw_pca11,fixed,2,0.5217391304347827,0.008695652173913049,0.516715200012744,0.007649121739348674,,
knn,raw_pca11,nested_tuned,2,0.5173913043478261,0.013043478260869601,0.5021197512576823,0.002425703287772224,"{""model__n_neighbors"": 5, ""model__weights"": ""distance""}",1
knn,raw_pca17,fixed,2,0.6086956521739131,0.0,0.6145600854668187,0.005912854724597849,,
knn,raw_pca17,nested_tuned,2,0.5608695652173914,0.04782608695652174,0.5686293705652679,0.05184356962614878,"{""model__n_neighbors"": 9, ""model__weights"": ""distance""}",1
mlp,corrected,fixed,2,0.7652173913043478,0.017391304347826098,0.7710471444717839,0.011664476552530667,,
mlp,corrected,nested_tuned,2,0.7695652173913043,0.021739130434782594,0.7708378392629373,0.02324214881010378,"{""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [64, 32]}",1
mlp,joint_angle,fixed,2,0.7043478260869566,0.017391304347826098,0.7014524267150317,0.01917281355306566,,
mlp,joint_angle,nested_tuned,2,0.7043478260869565,0.05217391304347824,0.7020649134454163,0.053393954513451636,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64]}",1
mlp,optimized_action,fixed,2,0.7478260869565218,0.0,0.7568535835410481,0.0030541669509338565,,
mlp,optimized_action,nested_tuned,2,0.7521739130434784,0.030434782608695643,0.7475539667291915,0.03233675395100305,"{""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [64, 32]}",1
mlp,optimized_full,fixed,2,0.46956521739130436,0.017391304347826098,0.4640794043606844,0.023219373340570088,,
