sequence_id,label,severity,mode,fingers,landmark_indices,start_frame_offset,end_frame_offset_exclusive,sequence_length,noise_std_scale,mean_affected_displacement,max_affected_displacement,seed
fe356bb47a53,orchid_palm,medium,drift,ring,14;15;16,6,38,104,0.05,0.33473721627794095,0.718514079919428,42
b795f1462f25,orchid_palm,medium,freeze,thumb,2;3;4,43,85,140,0.05,0.30808140548213747,0.6403298950229153,42
64b8975639c4,orchid_palm,medium,drift,middle,10;11;12,30,63,107,0.05,0.5133328942777341,1.2331453602248827,42
e2064c38a923,orchid_palm,medium,drift,pinky,18;19;20,14,53,127,0.05,0.5537290582467238,1.2422992882881931,42
b5c72eee6031,orchid_palm,medium,collapse,ring,14;15;16,14,53,129,0.05,0.7065060796135056,1.057266593690301,42
b7495fa948df,orchid_palm,medium,collapse,thumb,2;3;4,30,128,324,0.05,0.3738567506189498,0.8172840829860634,42
c19dce71c849,orchid_palm,medium,drift,middle,10;11;12,84,124,133,0.05,0.3804823326953551,1.2184297206940236,42
e635b04f95b4,orchid_finger,medium,drift,pinky,18;19;20,51,82,103,0.05,0.5952010513706415,0.870235917820213,42
94336838e554,orchid_finger,medium,collapse,ring,14;15;16,77,113,118,0.05,0.4995131240685751,0.7447629868417366,42
35a9c396f1a4,orchid_finger,medium,drift,pinky,18;19;20,105,151,153,0.05,0.32838372278350886,0.8077843843956166,42
cf2d104edd27,orchid_finger,medium,freeze,middle,10;11;12,59,102,142,0.05,0.33735746370882513,0.8124621167465265,42
b61cb14c9598,orchid_finger,medium,freeze,ring,14;15;16,41,68,90,0.05,0.5194986986551601,0.9436381816006861,42
5efb0e1b3b94,orchid_finger,medium,freeze,ring,14;15;16,140,202,206,0.05,0.4067531729554968,1.2079413620976391,42
a4a40ba1c9e1,orchid_finger,medium,drift,middle,10;11;12,13,45,106,0.05,0.8715216379913079,1.5603101090830822,42
ead22ed8d1dd,orchid_finger,medium,freeze,index,6;7;8,24,54,99,0.05,0.7478356743427432,2.076856440288462,42
04e16016884a,orchid_finger,medium,freeze,index,6;7;8,19,46,88,0.05,0.9581911552925869,1.6726304728880783,42
3077ba49d2d6,orchid_finger,medium,freeze,ring,14;15;16,36,71,114,0.05,0.6194223960691547,1.032283102361431,42
13271a043d83,orchid_finger,medium,collapse,thumb,2;3;4,52,84,104,0.05,0.529226276083878,0.8218952222140026,42
44ce576d45ae,flower_pinch,medium,drift,middle,10;11;12,57,93,119,0.05,0.46778602694582755,1.0276466497065218,42
385de3b26d97,flower_pinch,medium,drift,middle,10;11;12,54,104,165,0.05,0.6039835450546881,1.128991109482452,42
b1043ad7a1fd,flower_pinch,medium,drift,thumb,2;3;4,77,125,160,0.05,0.3341504245080439,1.0229654426084105,42
f6e089c6ee0b,flower_pinch,medium,drift,ring,14;15;16,142,205,207,0.05,0.3558376119669581,0.8202426045854468,42
a822aed127f5,flower_pinch,medium,freeze,ring,14;15;16,10,79,228,0.05,0.30946451093299626,0.8018698966622149,42
e83978ff4839,flower_pinch,medium,freeze,ring,14;15;16,6,53,156,0.05,0.3660332964500733,1.1523678871459566,42
27cef767e437,flower_pinch,medium,collapse,middle,10;11;12,21,55,112,0.05,0.7046794859801461,1.2425019591092168,42
4a163017caff,flower_pinch,medium,freeze,middle,10;11;12,4,38,112,0.05,0.2937642644256363,0.6360433068007874,42
01fd6a3af833,flower_pinch,medium,freeze,ring,14;15;16,92,133,136,0.05,0.5628300917587159,1.1804470374448215,42
6e0825e4309a,flower_pinch,medium,collapse,index,6;7;8,82,118,118,0.05,0.8722978070357845,1.9921954432237514,42
7c5d2a4ee66e,flower_pinch,medium,collapse,ring,14;15;16,36,78,140,0.05,0.7817720846979673,1.6087425191198792,42
a65164b9d698,flower_pinch,medium,collapse,thumb,2;3;4,6,42,117,0.05,0.5008486157744586,0.9361344336097006,42
92ec2d35b523,prayer_beads,medium,collapse,middle,10;11;12,22,47,82,0.05,0.8417086606598484,1.384328040807723,42
29d318a0a47c,prayer_beads,medium,freeze,pinky,18;19;20,36,55,63,0.05,1.5406531127582417,3.2678772132374037,42
7e9d9bde7c38,prayer_beads,medium,collapse,index,6;7;8,16,38,71,0.05,0.8559908858547659,1.247398239817012,42
8255189f725d,prayer_beads,medium,drift,middle,10;11;12,0,51,168,0.05,1.4125222709345437,3.974363553094076,42
cbfc925af7a9,prayer_beads,medium,freeze,index,6;7;8,22,64,140,0.05,1.3534756518080162,3.157272048248224,42
dc1412571fa7,prayer_beads,medium,drift,pinky,18;19;20,15,57,140,0.05,1.6083137722812666,2.86000420823299,42
ee73f970fb19,prayer_beads,medium,drift,pinky,18;19;20,61,99,126,0.05,1.4871195717497299,3.0377787316853446,42
7c3605d89168,prayer_beads,medium,drift,index,6;7;8,17,51,111,0.05,0.9351791221807941,3.109723759832018,42
c445d8e9ffda,prayer_beads,medium,freeze,pinky,18;19;20,3,6,7,0.05,0.171389962819184,0.281892979652696,42
f0eea42356eb,prayer_beads,medium,collapse,thumb,2;3;4,77,119,138,0.05,0.41989615634450117,0.9044260403448783,42
b4f57c1e7812,prayer_beads,medium,drift,thumb,2;3;4,31,80,161,0.05,1.2438299163544848,2.161748316787598,42
6248c818c98a,prayer_beads,medium,freeze,pinky,18;19;20,7,40,107,0.05,0.40255782740388096,1.1266601725398102,42
eea8808072e4,three_finger_bent,medium,collapse,pinky,18;19;20,37,69,105,0.05,0.5775898880526197,0.8384698720861264,42
8965bab92aa4,three_finger_bent,medium,freeze,thumb,2;3;4,66,100,113,0.05,0.48742929502652954,0.9397204742603436,42
d282dc86376e,three_finger_bent,medium,freeze,middle,10;11;12,52,95,142,0.05,0.23005111318757,0.6212636523097883,42
4b6d928951b9,three_finger_bent,medium,drift,thumb,2;3;4,21,57,118,0.05,0.31700942358885925,0.7914146092688223,42
68374eb33bd8,three_finger_bent,medium,drift,pinky,18;19;20,62,96,111,0.05,0.43844794411438853,0.8685952346049883,42
8d3758285d71,three_finger_bent,medium,drift,middle,10;11;12,52,85,107,0.05,0.2363632192487517,0.8609859805217304,42
d63635c1356e,three_finger_bent,medium,collapse,index,6;7;8,30,63,109,0.05,0.5931802357435166,0.9277130435899041,42
83922cc421de,deer_horn,medium,drift,middle,10;11;12,43,76,108,0.05,0.5140695156704381,1.2905414763402352,42
538ec863bb75,deer_horn,medium,freeze,middle,10;11;12,0,38,125,0.05,0.6691009011222928,1.276228617891799,42
065ced8f3f3c,deer_horn,medium,drift,ring,14;15;16,16,55,129,0.05,0.7326857992230393,1.1544931156853802,42
