classifier,representation,display_name,frame_dimensions,encoded_features,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
knn,corrected17,Corrected-17,17,272,20,0.7447826086956522,0.04974604694993922,0.022368550701632264,0.732406570225457,0.05956114437415336,0.026781956747663073,0.694295239986902,0.05931860316383761,0.026672896918936526
knn,corrected_flex11,Corrected-Flex11,11,176,20,0.7578260869565218,0.05226622268756817,0.023501759915640887,0.7479243525182226,0.06285514481412857,0.028263119983144538,0.7097135169045369,0.0626126807235783,0.028154094831693663
knn,corrected_pca11,Corrected-PCA11,11,176,20,0.7339130434782609,0.0591304347826087,0.02658828609588563,0.7269018202398534,0.06671945396682577,0.03000072529067529,0.680758760025862,0.0707566154069997,0.031816054465596114
knn,joint_angle11,JointAngle-11,11,176,20,0.7652173913043478,0.05070392952039391,0.022799267234043123,0.7583466648936873,0.05994102816122514,0.02695277333054441,0.7184252407903561,0.0607675205014949,0.02732440961023592
knn,optimized_action17,OptimizedAction-17,17,272,20,0.722608695652174,0.046900127165780174,0.02108886910102585,0.7094576514099462,0.05791332938332681,0.02604100876427243,0.6675484266200062,0.05590249572196359,0.025136827679250424
knn,optimized_action_flex11,OptimizedAction-Flex11,11,176,20,0.7595652173913043,0.047887312588976313,0.021532761802950426,0.7502895770861219,0.058239903333102465,0.026187854320879986,0.7117918266172889,0.05730162962445096,0.025765955008054175
knn,optimized_action_pca11,OptimizedAction-PCA11,11,176,20,0.7317391304347827,0.05730395196801979,0.02576699926107629,0.7296511295839474,0.061503308596195884,0.027655260287045257,0.6780428731836126,0.06852946733982436,0.03081460656138802
mlp,corrected17,Corrected-17,17,272,20,0.7952173913043478,0.06194546049239095,0.027854076026471046,0.7910235101133021,0.06606107848077221,0.02970468356789637,0.7545197630331887,0.0741918196706253,0.033360710683580604
mlp,corrected_flex11,Corrected-Flex11,11,176,20,0.7978260869565218,0.06042539808275455,0.0271705726093289,0.7956379317134047,0.06689077366918351,0.030077760023751354,0.7575480153461492,0.07223601297941208,0.03248127274192828
mlp,corrected_pca11,Corrected-PCA11,11,176,20,0.7778260869565219,0.045887591759698254,0.02063357765664368,0.7785954910775029,0.04782458823321812,0.02150455749289909,0.7331927209012956,0.05491102559546806,0.02469100833975623
mlp,joint_angle11,JointAngle-11,11,176,20,0.7886956521739131,0.05722637698703618,0.02573211729553929,0.7895144409754029,0.057519831812443085,0.02586407067763131,0.7464666141940018,0.068703854064023,0.03089302039567427
mlp,optimized_action17,OptimizedAction-17,17,272,20,0.762608695652174,0.06087577608065092,0.02737308725518574,0.7572185863748084,0.06603185032269149,0.029691540985198262,0.7153835435854317,0.07286046476144102,0.032762060507056545
mlp,optimized_action_flex11,OptimizedAction-Flex11,11,176,20,0.7969565217391306,0.05630560683500891,0.02531808854163854,0.7951030613236325,0.06247941617165467,0.028094171781135824,0.756486227320513,0.06736766236366164,0.030292195332595168
mlp,optimized_action_pca11,OptimizedAction-PCA11,11,176,20,0.77,0.04488801440729041,0.02018411286379212,0.7721595421650702,0.04315118223950411,0.019403137876082045,0.7237541021631142,0.05385279934569307,0.024215171786437516
rf,corrected17,Corrected-17,17,272,20,0.8347826086956521,0.04373835248681493,0.019667161818741834,0.8314227604867357,0.046602385642571006,0.020954988184526343,0.8019031160343385,0.0523620913917908,0.023544867742344416
rf,corrected_flex11,Corrected-Flex11,11,176,20,0.8365217391304348,0.041210419516774906,0.018530464527647086,0.8353106894007982,0.04243569447266386,0.019081415339916117,0.8039301013342162,0.049406652069373204,0.022215940151462214
rf,corrected_pca11,Corrected-PCA11,11,176,20,0.8221739130434782,0.04976124470388729,0.022375384445227617,0.8189565996859957,0.0565058287379518,0.02540811928904772,0.7867242262139987,0.059444271210598504,0.026729404164193116
rf,joint_angle11,JointAngle-11,11,176,20,0.8434782608695652,0.04050718156122475,0.01821425017839707,0.8434881007403575,0.04095108670640101,0.018413854274710147,0.8122558548393461,0.04855644341989792,0.021833639718587764
rf,optimized_action17,OptimizedAction-17,17,272,20,0.8208695652173914,0.0478181811647566,0.02150167652356549,0.8177584541856782,0.05069938731956498,0.022797224811463467,0.7852012225871255,0.057121476157855816,0.025684948130147604
rf,optimized_action_flex11,OptimizedAction-Flex11,11,176,20,0.8256521739130435,0.03361912769082314,0.015117003428505499,0.8232378410445393,0.0348040093648512,0.015649791206147474,0.7908995618689336,0.04030588406759237,0.018123735786430232
rf,optimized_action_pca11,OptimizedAction-PCA11,11,176,20,0.8073913043478262,0.049134282265662674,0.022093467751393446,0.8062498917110374,0.051592327242431485,0.023198739568168685,0.7688422467383869,0.05905843471764706,0.0265559109183115
svm,corrected17,Corrected-17,17,272,20,0.7752173913043479,0.05446248774053999,0.02448932112308841,0.7804760828930355,0.05582723097565197,0.025102984521911485,0.7301154418319135,0.06573652047021127,0.029558744488110616
svm,corrected_flex11,Corrected-Flex11,11,176,20,0.7926086956521738,0.055630090727311614,0.025014339455404568,0.7980249842992503,0.055295544863506185,0.02486390928908233,0.7511041840356796,0.06681441917859575,0.030043426857626038
svm,corrected_pca11,Corrected-PCA11,11,176,20,0.7730434782608695,0.05979802172853632,0.026888469796165517,0.7792130926578313,0.05931714424210879,0.02667224090772233,0.7272189382622942,0.07245813401275679,0.0325811505392791
svm,joint_angle11,JointAngle-11,11,176,20,0.7978260869565219,0.05966985414247084,0.026830838620966878,0.8013031294860911,0.058903760757316764,0.02648636102367661,0.7573461260628044,0.07176296409873507,0.03226856402393864
