classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.005217391304347829,0.018931774832241084,0.008512764152557206,11,2,7,0.23763853972888527
svm,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.0032781451868406806,0.018372139992836184,0.008261121639289251,12,0,8,0.47490501403808594
svm,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.006241942027124764,0.022685383071123614,0.010200592258577418,12,0,8,0.21616744995117188
svm,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.004782608695652157,0.02308445904775355,0.010380038702352807,11,3,6,0.45464489657393214
svm,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.003563522326360297,0.022570330823308445,0.010148858458680108,12,0,8,0.5458755493164062
svm,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.005727440452907217,0.0277520655771437,0.012478850561976578,12,0,8,0.14290618896484375
svm,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.01739130434782607,0.020393111999232313,0.009169861480208541,4,2,14,0.004546717167134763
svm,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.01754890140621479,0.024513955204127285,0.011022818565520877,6,0,14,0.00830841064453125
svm,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.02098874220376617,0.02461888611173586,0.01107000125582334,5,0,15,0.001209259033203125
svm,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.01739130434782608,0.03135261978664338,0.014097857183150275,6,3,11,0.030730016044261083
svm,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.017193565776529425,0.03092095595092064,0.013903757450861157,8,0,12,0.039989471435546875
svm,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.021137957722979005,0.03784090413038837,0.017015345631141293,9,0,11,0.04405403137207031
svm,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.019565217391304325,0.03738877645651079,0.0168120442350139,5,2,13,0.03828063666700115
svm,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.018811891641419,0.0397052286643921,0.017853648178178357,7,0,13,0.04844093322753906
svm,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.02388524577338517,0.0451454100444175,0.020299852057405844,5,0,15,0.01531219482421875
svm,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.009130434782608698,0.025123513414249846,0.011296909363980579,5,2,13,0.13228140937107585
svm,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.0087825393707896,0.025142839697725832,0.011305599520853582,6,0,14,0.09730720520019531
svm,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.011149084186540602,0.030063469864262688,0.01351818468314647,7,0,13,0.09730720520019531
knn,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.007391304347826089,0.02767281154951228,0.012443213604990509,11,2,7,0.17617421394115795
knn,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.010422312375464787,0.028460044212348847,0.012797196580770703,12,0,8,0.1230926513671875
knn,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.008711723885819294,0.03314434931187154,0.014903517033248704,12,0,8,0.3299827575683594
knn,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.005652173913043468,0.030157118493669286,0.013560294242467392,9,4,7,0.5341726820645272
knn,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.008057087807565377,0.030778636080679437,0.013839762632608684,11,0,9,0.34881019592285156
knn,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.006633414173067259,0.03603002423446808,0.016201074724204255,11,0,9,0.5458755493164062
knn,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.013043478260869573,0.039033696847762506,0.01755169064770052,7,1,12,0.15818776939303036
knn,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.015517782292765653,0.04712187371585187,0.021188578510161062,7,0,13,0.14290618896484375
knn,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.01541827691763487,0.04679386816400174,0.02104108922675408,7,0,13,0.17685317993164062
knn,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.03695652173913046,0.03877861160919103,0.01743699033597593,5,0,15,0.0010166168212890625
