repeat,seed,shot,classifier,representation,frame_dimensions,encoded_features,num_train,num_test,accuracy,macro_f1,kappa
0,42,3,svm,joint_angle11,11,176,18,115,0.8434782608695652,0.8450731129739698,0.812176753470647
0,42,3,knn,joint_angle11,11,176,18,115,0.7478260869565218,0.7373082462368177,0.6978345564918004
0,42,3,rf,joint_angle11,11,176,18,115,0.782608695652174,0.7815196597902773,0.7398896227268614
0,42,3,mlp,joint_angle11,11,176,18,115,0.808695652173913,0.8107007078423307,0.7702714973213475
0,42,3,svm,corrected17,17,272,18,115,0.808695652173913,0.8168084453441149,0.7702506356701779
0,42,3,knn,corrected17,17,272,18,115,0.7130434782608696,0.6780534448411036,0.6562188604040221
0,42,3,rf,corrected17,17,272,18,115,0.8347826086956521,0.8308643427592454,0.802065404475043
0,42,3,mlp,corrected17,17,272,18,115,0.8260869565217391,0.8224269518387165,0.7917421224194132
0,42,3,svm,optimized_action17,17,272,18,115,0.8260869565217391,0.832695163582958,0.7909280974456867
0,42,3,knn,optimized_action17,17,272,18,115,0.7304347826086957,0.7001959541433226,0.6768198712718702
0,42,3,rf,optimized_action17,17,272,18,115,0.7739130434782608,0.7647488172336887,0.7295586107091172
0,42,3,mlp,optimized_action17,17,272,18,115,0.8347826086956521,0.8333109024663492,0.8019936565473493
0,42,3,svm,corrected_flex11,11,176,18,115,0.8521739130434782,0.8547149054014044,0.8225147526100771
0,42,3,knn,corrected_flex11,11,176,18,115,0.8,0.7898973277471352,0.760047174090538
0,42,3,rf,corrected_flex11,11,176,18,115,0.8608695652173913,0.8611885576460104,0.833303134625838
0,42,3,mlp,corrected_flex11,11,176,18,115,0.8521739130434782,0.8550304081083836,0.8226596516690856
0,42,3,svm,optimized_action_flex11,11,176,18,115,0.8521739130434782,0.8556966647262444,0.8225469728601253
0,42,3,knn,optimized_action_flex11,11,176,18,115,0.808695652173913,0.7975636625737487,0.7704174228675136
0,42,3,rf,optimized_action_flex11,11,176,18,115,0.8260869565217391,0.8239790266954953,0.7914777878513146
0,42,3,mlp,optimized_action_flex11,11,176,18,115,0.8173913043478261,0.8183054832764136,0.780952380952381
