classifier,representation,display_name,frame_dimensions,encoded_features,repeats,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,kappa_mean,kappa_std,kappa_ci95
knn,corrected17,Corrected-17,17,272,2,0.7260869565217392,0.013043478260869545,0.02556521739130431,0.7097953169358096,0.031741872094705914,0.062214069305623586,0.6714194492773131,0.015200588873290954,0.02979315419165027
knn,corrected_flex11,Corrected-Flex11,11,176,2,0.7652173913043478,0.034782608695652195,0.0681739130434783,0.7552403529686262,0.03465697477850893,0.0679276705658775,0.7176829677374366,0.0423642063531014,0.08303384445207873
knn,corrected_pca11,Corrected-PCA11,11,176,2,0.7565217391304347,0.017391304347826098,0.03408695652173915,0.7447465213227766,0.0344760448966937,0.06757304799751965,0.7074640224305047,0.020048963990711155,0.03929596942179386
knn,joint_angle11,JointAngle-11,11,176,2,0.7391304347826086,0.008695652173913049,0.017043478260869573,0.733985050926196,0.0033231953106216405,0.006513462808818414,0.686458291734781,0.011376264757019416,0.022297478923758055
knn,optimized_action17,OptimizedAction-17,17,272,2,0.7391304347826086,0.008695652173913049,0.017043478260869573,0.7248675767180124,0.0246716225746898,0.04835638024639201,0.686901667418599,0.010081796146728939,0.019760320447588717
knn,optimized_action_flex11,OptimizedAction-Flex11,11,176,2,0.7739130434782608,0.034782608695652195,0.0681739130434783,0.7644409786185983,0.03312268395515039,0.06492046055209476,0.7281477991147183,0.042269623752795304,0.08284846255547879
knn,optimized_action_pca11,OptimizedAction-PCA11,11,176,2,0.7782608695652173,0.03913043478260875,0.07669565217391314,0.7785601560067316,0.036908408782228896,0.07234048121316862,0.7334595076252337,0.04781030489174842,0.09370819758782692
mlp,corrected17,Corrected-17,17,272,2,0.8304347826086956,0.004347826086956497,0.008521739130434733,0.8267196720757092,0.004292720236992675,0.008413731664505642,0.7964625079794974,0.004720385560084139,0.009251955697764913
mlp,corrected_flex11,Corrected-Flex11,11,176,2,0.8608695652173912,0.008695652173913049,0.017043478260869573,0.8624941068902375,0.0074636987818539335,0.014628849612433709,0.8328850782219916,0.010225426552906036,0.02004183604369583
mlp,corrected_pca11,Corrected-PCA11,11,176,2,0.8260869565217391,0.02608695652173909,0.05113043478260862,0.8275994530899493,0.02577384979375769,0.050516745595765064,0.7907503842702157,0.031796588589909525,0.06232131363622267
mlp,joint_angle11,JointAngle-11,11,176,2,0.817391304347826,0.008695652173913049,0.017043478260869573,0.8203683430988185,0.009667635256487672,0.018948565102715836,0.7805332382004226,0.01026174087907522,0.020113012122987432
mlp,optimized_action17,OptimizedAction-17,17,272,2,0.8130434782608695,0.021739130434782594,0.04260869565217388,0.8108277710493914,0.02248313141695779,0.04406693757723726,0.7756106752662242,0.02638298128112515,0.051710643311005285
mlp,optimized_action_flex11,OptimizedAction-Flex11,11,176,2,0.8304347826086957,0.013043478260869545,0.02556521739130431,0.8307071014278606,0.012401618151447025,0.024307171576836165,0.7963082348761541,0.015355853923773144,0.030097473690595358
mlp,optimized_action_pca11,OptimizedAction-PCA11,11,176,2,0.808695652173913,0.060869565217391286,0.11930434782608691,0.8117947957299242,0.05732149125661978,0.11235012286297476,0.7693100584053914,0.07407109285663876,0.14517934199901197
rf,corrected17,Corrected-17,17,272,2,0.8434782608695652,0.008695652173913049,0.017043478260869573,0.8413349214930798,0.01047057873383439,0.020522334318315405,0.8122013681771798,0.010135963702136763,0.019866488856188053
rf,corrected_flex11,Corrected-Flex11,11,176,2,0.8304347826086957,0.030434782608695643,0.059652173913043456,0.8310136982232728,0.030174859422737677,0.059142724468565847,0.7966098136594744,0.036693320966363685,0.07191890909407282
rf,corrected_pca11,Corrected-PCA11,11,176,2,0.8434782608695652,0.02608695652173909,0.05113043478260862,0.8449689384517824,0.025418736948256082,0.04982072441858192,0.8119382225989202,0.03178346611280286,0.0622955935810936
rf,joint_angle11,JointAngle-11,11,176,2,0.8043478260869565,0.021739130434782594,0.04260869565217388,0.8059492488439561,0.024429589053678813,0.04788199454521047,0.7653898518216542,0.02550022909479277,0.04998044902579383
rf,optimized_action17,OptimizedAction-17,17,272,2,0.8130434782608695,0.03913043478260869,0.07669565217391304,0.8091870906413037,0.044438273407614914,0.08709901587892521,0.7759479712942169,0.04638936058509968,0.09092314674679536
rf,optimized_action_flex11,OptimizedAction-Flex11,11,176,2,0.8130434782608695,0.013043478260869545,0.02556521739130431,0.8123455105585244,0.011633516136970834,0.022801691628462833,0.775588080806733,0.01588970704458159,0.03114382580737992
rf,optimized_action_pca11,OptimizedAction-PCA11,11,176,2,0.8,0.03478260869565214,0.0681739130434782,0.8026650546898777,0.031084831691587544,0.060926270115511584,0.7597089948929379,0.042212861693047055,0.08273720891837223
svm,corrected17,Corrected-17,17,272,2,0.8,0.008695652173913049,0.017043478260869573,0.8091663288779165,0.00764211646619839,0.014978548273748843,0.7591209350739494,0.011129700596228474,0.021814213168607807
svm,corrected_flex11,Corrected-Flex11,11,176,2,0.8217391304347825,0.030434782608695643,0.059652173913043456,0.8293268587684689,0.02538804663293548,0.04976057140055353,0.7852989973346114,0.03721575527546572,0.07294288033991281
svm,corrected_pca11,Corrected-PCA11,11,176,2,0.817391304347826,0.017391304347826042,0.03408695652173904,0.8294425050905325,0.01260020493094788,0.024696401664657842,0.7799401938123448,0.021801934851115812,0.04273179230818699
svm,joint_angle11,JointAngle-11,11,176,2,0.8260869565217391,0.017391304347826098,0.03408695652173915,0.8305199990887534,0.014553113885216407,0.028524103215024157,0.7907212996719399,0.021455453798707003,0.04205268944546572
svm,optimized_action17,OptimizedAction-17,17,272,2,0.8043478260869565,0.021739130434782594,0.04260869565217388,0.8111639229708816,0.021531240612076452,0.04220123159966984,0.7640895285254389,0.02683856892024783,0.05260359508368574
svm,optimized_action_flex11,OptimizedAction-Flex11,11,176,2,0.8260869565217391,0.02608695652173909,0.05113043478260862,0.8328890933341404,0.022807571392103987,0.044702839928523815,0.79056337325007,0.03198359961005537,0.06268785523570852
svm,optimized_action_pca11,OptimizedAction-PCA11,11,176,2,0.808695652173913,0.034782608695652195,0.0681739130434783,0.8209406721411684,0.03066866668588819,0.06011058670434085,0.7692085733512326,0.042592499473569634,0.08348129896819646
