classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.004347826086956552,0.013043478260869545,0.02556521739130431,1,0,1,1.0
svm,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.0011931403202845026,0.010834932747719073,0.02123646818552938,1,0,1,1.0
svm,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,0.0054223023373285995,0.01576030147675872,0.030890190894447087,1,0,1,1.0
svm,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.0,0.008695652173912993,0.017043478260869466,1,0,1,1.0
svm,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.0023690942453870045,0.00825445750688758,0.016178736713499658,1,0,1,1.0
svm,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,0.00015792642187001382,0.010528145811348366,0.020635165790242795,1,0,1,1.0
svm,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.021739130434782594,0.021739130434782594,0.04260869565217388,0,1,1,0.31731050786291415
svm,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.020160529890552392,0.01774593016673709,0.034782023126804694,0,0,2,0.5
svm,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.02617806226066194,0.026086054679237247,0.051128667171305,0,0,2,0.5
svm,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.021739130434782594,0.004347826086956497,0.008521739130434733,0,0,2,0.5
svm,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.021725170363258828,0.0012763307800275348,0.0025016083288539677,0,0,2,0.5
svm,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.0264738447246311,0.005145030689807539,0.010084260152022776,0,0,2,0.5
svm,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.004347826086956497,0.013043478260869601,0.025565217391304417,1,0,1,1.0
svm,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,0.00011564632206367831,0.012787841701987601,0.025064169735895696,1,0,1,1.0
svm,kappa,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.005358803522266586,0.015413820424349911,0.030211088031725824,1,0,1,1.0
svm,accuracy,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.017391304347826098,0.008695652173913104,0.017043478260869684,0,0,2,0.5
svm,macro_f1,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.011948421192972014,0.007861095293784204,0.015407746775817039,0,0,2,0.5
svm,kappa,optimized_action_pca11,optimized_action_flex11,optimized_action_pca11_minus_optimized_action_flex11,-0.021354799898837318,0.010608899863514265,0.020793443732487957,0,0,2,0.5
knn,accuracy,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.026086956521739146,0.026086956521739146,0.051130434782608716,0,1,1,0.31731050786291415
knn,macro_f1,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.021255302042430202,0.03133377946788729,0.06141420775705908,1,0,1,1.0
knn,kappa,joint_angle11,corrected_flex11,joint_angle11_minus_corrected_flex11,-0.03122467600265566,0.03098794159608198,0.06073636552832067,0,0,2,0.5
knn,accuracy,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.03478260869565214,0.026086956521739146,0.051130434782608716,0,0,2,0.5
knn,macro_f1,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.03045592769240224,0.02979948864452875,0.058406997743276345,0,0,2,0.5
knn,kappa,joint_angle11,optimized_action_flex11,joint_angle11_minus_optimized_action_flex11,-0.04168950737993732,0.030893358995775888,0.060550983631720734,0,0,2,0.5
knn,accuracy,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.03913043478260875,0.04782608695652174,0.0937391304347826,1,0,1,1.0
knn,macro_f1,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.04544503603281669,0.06639884687321485,0.1301417398715011,1,0,1,1.0
knn,kappa,corrected17,corrected_flex11,corrected17_minus_corrected_flex11,-0.046263518460123554,0.05756479522639235,0.11282699864372898,1,0,1,1.0
knn,accuracy,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.03478260869565214,0.043478260869565244,0.08521739130434787,1,0,1,1.0
knn,macro_f1,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.03957340190058589,0.05779430652984019,0.11327684079848675,1,0,1,1.0
knn,kappa,optimized_action17,optimized_action_flex11,optimized_action17_minus_optimized_action_flex11,-0.04124613169611918,0.05235141989952424,0.1026087830030675,1,0,1,1.0
knn,accuracy,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.008695652173913104,0.05217391304347829,0.10226086956521743,1,0,1,1.0
knn,macro_f1,corrected_pca11,corrected_flex11,corrected_pca11_minus_corrected_flex11,-0.01049383164584966,0.06913301967520263,0.13550071856339715,1,0,1,1.0
