classifier,scope,comparison,mean_difference,ci95_difference,wilcoxon_p
svm,raw,resample16_minus_global4,0.043913043478260874,0.022341194824147842,0.002324742898534975
svm,raw_pca11,resample16_minus_global4,0.08478260869565217,0.025063186689488152,8.807368035275503e-05
svm,raw_pca17,resample16_minus_global4,0.0882608695652174,0.022197023358672983,0.0001287566826091384
svm,joint_angle,resample16_minus_global4,0.07391304347826086,0.02927313522881968,0.0008269745685685401
svm,corrected,resample16_minus_global4,0.025217391304347837,0.027700654362563658,0.03987349209245894
svm,optimized_action,resample16_minus_global4,0.05043478260869566,0.024405679550240426,0.002283120390689373
svm,optimized_full,resample16_minus_global4,-0.05695652173913043,0.02247764128584994,0.0006263971034495491
svm,global4,optimized_action_minus_joint_angle,0.00130434782608696,0.02267403022407635,0.970170369479439
svm,global4,optimized_action_minus_corrected,-0.02478260869565217,0.014748427840579453,0.005579549551551822
svm,global5,optimized_action_minus_joint_angle,-0.01782608695652174,0.017419445881440558,0.06997513614263796
svm,global5,optimized_action_minus_corrected,-0.012608695652173912,0.020927858708486544,0.3194953451380397
svm,pyramid,optimized_action_minus_joint_angle,-0.026086956521739126,0.017310494176538023,0.0158031912913546
svm,pyramid,optimized_action_minus_corrected,-0.022173913043478256,0.010883340653070136,0.0015553158298388832
svm,resample16,optimized_action_minus_joint_angle,-0.02217391304347824,0.013683750740383388,0.0073008019851021145
svm,resample16,optimized_action_minus_corrected,0.00043478260869566076,0.01136437433734018,0.855790885780238
knn,raw,resample16_minus_global4,0.03956521739130435,0.02440176405398539,0.007851107862216647
knn,raw_pca11,resample16_minus_global4,0.07652173913043478,0.027078276448425795,0.0002917340549787667
knn,raw_pca17,resample16_minus_global4,0.07869565217391303,0.04162817804615096,0.004247258917570059
knn,joint_angle,resample16_minus_global4,0.07695652173913045,0.02479950156922075,0.00018706635560644279
knn,corrected,resample16_minus_global4,0.059130434782608696,0.03505107923313378,0.0021202438599218112
knn,optimized_action,resample16_minus_global4,0.04391304347826085,0.027963635723797516,0.011079831574019068
knn,optimized_full,resample16_minus_global4,-0.07347826086956522,0.02489794319548575,0.0005149708787899329
knn,global4,optimized_action_minus_joint_angle,-0.009565217391304332,0.02105259026958438,0.37539918556594043
knn,global4,optimized_action_minus_corrected,-0.006956521739130417,0.014291725284262775,0.5590313176702397
knn,global5,optimized_action_minus_joint_angle,-0.008695652173913044,0.019937380828810077,0.40697413687211625
knn,global5,optimized_action_minus_corrected,-0.006521739130434789,0.0165831425506158,0.5415296148538759
knn,pyramid,optimized_action_minus_joint_angle,-0.02999999999999998,0.026243199231797344,0.08894132208906254
knn,pyramid,optimized_action_minus_corrected,-0.025652173913043474,0.01486201797036418,0.006147694071335279
knn,resample16,optimized_action_minus_joint_angle,-0.04260869565217392,0.017083796704474595,0.001075366376101367
knn,resample16,optimized_action_minus_corrected,-0.02217391304347826,0.013850327181281832,0.00733441149938981
rf,raw,resample16_minus_global4,0.12956521739130436,0.024068206731415256,8.807368035275503e-05
rf,raw_pca11,resample16_minus_global4,0.11913043478260872,0.029158009831939266,0.00010248649056818514
rf,raw_pca17,resample16_minus_global4,0.11521739130434785,0.027226782801521403,0.00010262944757719752
rf,joint_angle,resample16_minus_global4,0.05043478260869565,0.019960372242363758,0.0006314664155292071
rf,corrected,resample16_minus_global4,0.059999999999999984,0.023227756237631795,0.0004574781254383862
rf,optimized_action,resample16_minus_global4,0.05260869565217391,0.02399106357022805,0.0015001220655882581
rf,optimized_full,resample16_minus_global4,0.008260869565217405,0.029994763314384422,0.7651388653276605
rf,global4,optimized_action_minus_joint_angle,-0.024782608695652176,0.02128280833335145,0.0362838362393614
rf,global4,optimized_action_minus_corrected,-0.006521739130434789,0.01229489088428733,0.45764089795468743
rf,global5,optimized_action_minus_joint_angle,0.008695652173913049,0.016817726859558468,0.3329609478986356
rf,global5,optimized_action_minus_corrected,0.004347826086956536,0.016473300062940798,0.9586848007372316
rf,pyramid,optimized_action_minus_joint_angle,-0.04086956521739129,0.017047962796734806,0.0007664555491292995
rf,pyramid,optimized_action_minus_corrected,-0.002608695652173898,0.014157376322886462,0.9476976743980118
rf,resample16,optimized_action_minus_joint_angle,-0.02260869565217392,0.01618776307172617,0.013141210118302708
rf,resample16,optimized_action_minus_corrected,-0.013913043478260879,0.01750371724523833,0.14868332800254205
mlp,raw,resample16_minus_global4,0.036086956521739134,0.024983761435960882,0.012267841092661335
mlp,raw_pca11,resample16_minus_global4,0.09695652173913043,0.0324621809299266,0.0002720355655508431
mlp,raw_pca17,resample16_minus_global4,0.07826086956521738,0.027923285616380612,0.0002693635352663221
mlp,joint_angle,resample16_minus_global4,0.05956521739130434,0.025408505192274892,0.001015727544592746
mlp,corrected,resample16_minus_global4,0.0626086956521739,0.025657742559671577,0.000549518712944633
mlp,optimized_action,resample16_minus_global4,0.03782608695652173,0.021568232977316536,0.005662377353459405
mlp,optimized_full,resample16_minus_global4,-0.0665217391304348,0.024799501569220762,0.0005779603462260623
mlp,global4,optimized_action_minus_joint_angle,-0.0047826086956521685,0.02081799081128542,0.9478034802354203
mlp,global4,optimized_action_minus_corrected,-0.007826086956521738,0.013818555581549116,0.26343947373338883
mlp,global5,optimized_action_minus_joint_angle,-0.023478260869565216,0.021562029734143628,0.0639644084986885
mlp,global5,optimized_action_minus_corrected,-0.02304347826086956,0.01864048739628627,0.0308644716580362
