classifier,feature_set,encoding,num_features,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
knn,corrected,global4,68,20,0.6856521739130435,0.05684023974652414,0.6816971986847584,0.06571615077174724
knn,corrected,global5,85,20,0.6834782608695651,0.06538529112037378,0.6806817836332829,0.07231961087126898
knn,corrected,pyramid,255,20,0.7104347826086956,0.05622665447070334,0.7026529874485844,0.06262207290735253
knn,corrected,resample16,272,20,0.7447826086956522,0.04974604694993922,0.732406570225457,0.05956114437415336
knn,joint_angle,global4,44,20,0.6882608695652175,0.04959381326132949,0.6882808920592238,0.050066059448148695
knn,joint_angle,global5,55,20,0.6856521739130436,0.04959381326132951,0.683931581264389,0.053044557429986816
knn,joint_angle,pyramid,165,20,0.7147826086956522,0.06539685452856756,0.7102239037953725,0.07065437684242785
knn,joint_angle,resample16,176,20,0.7652173913043478,0.05070392952039391,0.7583466648936873,0.05994102816122514
knn,optimized_action,global4,68,20,0.678695652173913,0.05059009070838675,0.6719062517438948,0.05730564822139932
knn,optimized_action,global5,85,20,0.6769565217391305,0.06082451749226089,0.6738220362841473,0.06365537512182805
knn,optimized_action,pyramid,255,20,0.6847826086956522,0.06365520306405953,0.6759347690596139,0.06779490549748333
knn,optimized_action,resample16,272,20,0.722608695652174,0.046900127165780174,0.7094576514099462,0.05791332938332681
knn,optimized_full,global4,252,20,0.4143478260869565,0.050724430641399414,0.40472834766597715,0.05328981262007611
knn,optimized_full,global5,315,20,0.41173913043478255,0.045788615981455096,0.40144313185123526,0.051448897006703326
knn,optimized_full,pyramid,945,20,0.37869565217391304,0.06114688380339415,0.3603842065566253,0.06544937924066928
knn,optimized_full,resample16,1008,20,0.3408695652173913,0.07667967890451688,0.3138839867993684,0.0760146530950612
knn,raw,global4,252,20,0.3456521739130435,0.043813921707029566,0.3329551261117265,0.04476643397545745
knn,raw,global5,315,20,0.35956521739130437,0.04741124430930412,0.3476157197451607,0.048964747938282115
knn,raw,pyramid,945,20,0.3717391304347826,0.0434673899453124,0.35612996361478827,0.04387837271691626
knn,raw,resample16,1008,20,0.38521739130434784,0.042608695652173914,0.3629874612105329,0.05026207170273824
knn,raw_pca11,global4,44,20,0.5352173913043478,0.057777030515581945,0.5300114193242286,0.05931365779961539
knn,raw_pca11,global5,55,20,0.5469565217391303,0.05505796910704949,0.5439489053649207,0.05530130503158404
knn,raw_pca11,pyramid,165,20,0.55,0.0747459465238024,0.5421169151911546,0.07966298337314064
knn,raw_pca11,resample16,176,20,0.6117391304347827,0.0684848168014279,0.6017351135989109,0.0771831545691222
knn,raw_pca17,global4,68,20,0.5830434782608696,0.07194174286691753,0.5788664605537924,0.07942008316935437
knn,raw_pca17,global5,85,20,0.5800000000000001,0.06622982269332041,0.5784436139444779,0.0710734405048271
knn,raw_pca17,pyramid,255,20,0.6021739130434783,0.07916745431240187,0.5964913705070625,0.08598206826527055
knn,raw_pca17,resample16,272,20,0.6617391304347826,0.08616597164302822,0.6563110282574417,0.09670424497251875
mlp,corrected,global4,68,20,0.7326086956521739,0.06023740053687952,0.7307878634084963,0.06346895253509072
mlp,corrected,global5,85,20,0.7417391304347826,0.05396210950991375,0.7408577967436047,0.05513272468142927
mlp,corrected,pyramid,255,20,0.7534782608695652,0.05418410121240914,0.7515044118279056,0.057261181677659395
mlp,corrected,resample16,272,20,0.7952173913043478,0.06194546049239095,0.7910235101133021,0.06606107848077221
mlp,joint_angle,global4,44,20,0.7295652173913044,0.053029221177354174,0.7300568157796947,0.053207425891123185
mlp,joint_angle,global5,55,20,0.7421739130434784,0.04190862325600319,0.7431061487055776,0.04237991158284409
mlp,joint_angle,pyramid,165,20,0.7586956521739131,0.041327224785927937,0.7589313335895593,0.04289631710314865
mlp,joint_angle,resample16,176,20,0.7891304347826088,0.05714538881780399,0.7899335185896025,0.05741946949394084
mlp,optimized_action,global4,68,20,0.7247826086956521,0.05467034736406357,0.7230659313649888,0.0596053611276524
mlp,optimized_action,global5,85,20,0.7186956521739131,0.054323472804511816,0.7177842764535068,0.05468030802025272
mlp,optimized_action,pyramid,255,20,0.7265217391304347,0.04637930246934007,0.7231171812577847,0.04997787946254737
mlp,optimized_action,resample16,272,20,0.762608695652174,0.06087577608065092,0.7572185863748084,0.06603185032269149
mlp,optimized_full,global4,252,20,0.46173913043478254,0.06895931788837163,0.45247684994626536,0.06987077687923794
mlp,optimized_full,global5,315,20,0.45043478260869574,0.06877815628968761,0.44670435545872256,0.07212860303642188
