classifier,feature_set,encoding,num_features,repeats,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
knn,corrected,global4,68,2,0.7,0.013043478260869545,0.6990600629174883,0.017855225166161115
knn,corrected,global5,85,2,0.7173913043478262,0.004347826086956552,0.720936531311352,0.0057843454095246605
knn,corrected,pyramid,255,2,0.7608695652173914,0.004347826086956552,0.754586201149998,0.01115167294700925
knn,corrected,resample16,272,2,0.7260869565217392,0.013043478260869545,0.7097953169358096,0.031741872094705914
knn,joint_angle,global4,44,2,0.7043478260869565,0.008695652173913049,0.6969952402798147,0.0053322932977188375
knn,joint_angle,global5,55,2,0.691304347826087,0.013043478260869601,0.6890829714359126,0.01349733996792818
knn,joint_angle,pyramid,165,2,0.7347826086956522,0.004347826086956497,0.7254992228008263,0.005241840361577488
knn,joint_angle,resample16,176,2,0.7391304347826086,0.008695652173913049,0.733985050926196,0.0033231953106216405
knn,optimized_action,global4,68,2,0.6739130434782609,0.0304347826086957,0.6694746115920389,0.029079832477747536
knn,optimized_action,global5,85,2,0.708695652173913,0.030434782608695643,0.7128802021113461,0.027703402604252914
knn,optimized_action,pyramid,255,2,0.7304347826086957,0.05217391304347829,0.7171128885795168,0.06875902676176271
knn,optimized_action,resample16,272,2,0.7391304347826086,0.008695652173913049,0.7248675767180124,0.0246716225746898
knn,optimized_full,global4,252,2,0.391304347826087,0.008695652173913049,0.37238719021055067,1.5952505822564023e-05
knn,optimized_full,global5,315,2,0.3869565217391304,0.030434782608695643,0.3658380007488982,0.013446501513545206
knn,optimized_full,pyramid,945,2,0.30869565217391304,0.021739130434782594,0.29037057674703054,0.014094094191357542
knn,optimized_full,resample16,1008,2,0.31304347826086953,0.060869565217391314,0.2792348260911453,0.04888236531315261
knn,raw,global4,252,2,0.3391304347826087,0.017391304347826098,0.33212661414218525,0.017644413203212722
knn,raw,global5,315,2,0.33478260869565213,0.004347826086956524,0.31732637909108496,0.00228146404616994
knn,raw,pyramid,945,2,0.3391304347826087,0.008695652173913049,0.32144735136348673,0.010002071497154263
knn,raw,resample16,1008,2,0.3869565217391304,0.03913043478260869,0.3631669794927874,0.04578896918842054
knn,raw_pca11,global4,44,2,0.5217391304347827,0.008695652173913049,0.516715200012744,0.007649121739348674
knn,raw_pca11,global5,55,2,0.5130434782608696,0.0,0.5082395341632658,0.0010863744613804904
knn,raw_pca11,pyramid,165,2,0.5217391304347826,0.060869565217391286,0.5102275229442381,0.06293947497070626
knn,raw_pca11,resample16,176,2,0.6695652173913044,0.017391304347826098,0.6650879302234685,0.006198014881940217
knn,raw_pca17,global4,68,2,0.6086956521739131,0.0,0.6145600854668187,0.005912854724597849
knn,raw_pca17,global5,85,2,0.6173913043478261,0.017391304347826098,0.6267167128837667,0.013465565478311847
knn,raw_pca17,pyramid,255,2,0.5826086956521739,0.008695652173913049,0.576365521613036,0.011527199866653737
knn,raw_pca17,resample16,272,2,0.7565217391304349,0.043478260869565244,0.756420919622521,0.04625822738435703
mlp,corrected,global4,68,2,0.7652173913043478,0.017391304347826098,0.7710471444717839,0.011664476552530667
mlp,corrected,global5,85,2,0.7434782608695651,0.004347826086956552,0.7475873000541803,0.010138195984009224
mlp,corrected,pyramid,255,2,0.817391304347826,0.008695652173913049,0.8200981099192696,0.006770350670121328
mlp,corrected,resample16,272,2,0.8304347826086956,0.004347826086956497,0.8267196720757092,0.004292720236992675
mlp,joint_angle,global4,44,2,0.7043478260869566,0.017391304347826098,0.7014524267150317,0.01917281355306566
mlp,joint_angle,global5,55,2,0.7608695652173914,0.02173913043478265,0.7634774049049515,0.022283566150137157
mlp,joint_angle,pyramid,165,2,0.791304347826087,0.008695652173913049,0.7901730357100996,0.005390257449060409
mlp,joint_angle,resample16,176,2,0.817391304347826,0.008695652173913049,0.8203683430988185,0.009667635256487672
mlp,optimized_action,global4,68,2,0.7478260869565218,0.0,0.7568535835410481,0.0030541669509338565
mlp,optimized_action,global5,85,2,0.7,0.02173913043478265,0.7073521290652466,0.01637950873142069
mlp,optimized_action,pyramid,255,2,0.7695652173913043,0.013043478260869601,0.7738310363310363,0.01600782850782856
mlp,optimized_action,resample16,272,2,0.8130434782608695,0.021739130434782594,0.8108277710493914,0.02248313141695779
mlp,optimized_full,global4,252,2,0.46956521739130436,0.017391304347826098,0.4640794043606844,0.023219373340570088
mlp,optimized_full,global5,315,2,0.4826086956521739,0.013043478260869573,0.4864701820725037,0.018241874995734514
mlp,optimized_full,pyramid,945,2,0.3652173913043478,0.026086956521739146,0.36364349551689706,0.02515878203218358
mlp,optimized_full,resample16,1008,2,0.37826086956521743,0.03043478260869567,0.3487322651330441,0.028378174778953852
mlp,raw,global4,252,2,0.4217391304347826,0.004347826086956524,0.41813764979511114,0.0011227330682129222
mlp,raw,global5,315,2,0.41304347826086957,0.030434782608695643,0.4090643543103988,0.03348970313727567
mlp,raw,pyramid,945,2,0.3652173913043478,0.0,0.3570146739530221,0.0027157348437788775
mlp,raw,resample16,1008,2,0.4782608695652174,0.02608695652173912,0.46733159339561225,0.041423092330287514
mlp,raw_pca11,global4,44,2,0.5521739130434782,0.04782608695652174,0.5614367831500038,0.036543456643774064
mlp,raw_pca11,global5,55,2,0.5304347826086957,0.08695652173913043,0.542425316687138,0.07206534702953196
mlp,raw_pca11,pyramid,165,2,0.508695652173913,0.04782608695652174,0.5132146721106443,0.03300287032538554
mlp,raw_pca11,resample16,176,2,0.691304347826087,0.004347826086956497,0.6927484512164261,0.006530318189782391
mlp,raw_pca17,global4,68,2,0.6565217391304348,0.013043478260869601,0.6658904712486275,0.022909494021925936
mlp,raw_pca17,global5,85,2,0.6217391304347826,0.08260869565217394,0.6250413761445842,0.0778946627047673
mlp,raw_pca17,pyramid,255,2,0.6130434782608696,0.004347826086956497,0.6171385917201013,0.008195053674396047
mlp,raw_pca17,resample16,272,2,0.7,0.03913043478260869,0.7039896941830752,0.027608626067727127
rf,corrected,global4,68,2,0.8043478260869565,0.004347826086956497,0.8076551858231604,0.003757962432092976
rf,corrected,global5,85,2,0.7869565217391304,0.004347826086956497,0.7892323751598824,0.0001264141989070211
rf,corrected,pyramid,255,2,0.8,0.03478260869565214,0.8047695655511551,0.034638370362751636
rf,corrected,resample16,272,2,0.8434782608695652,0.008695652173913049,0.8413349214930798,0.01047057873383439
rf,joint_angle,global4,44,2,0.7565217391304347,0.017391304347826098,0.7596761675576542,0.016039588072018218
rf,joint_angle,global5,55,2,0.7782608695652173,0.004347826086956552,0.7787728349579224,0.0074474561274726625
rf,joint_angle,pyramid,165,2,0.8260869565217391,0.017391304347826098,0.8282621406888648,0.017089659721087613
rf,joint_angle,resample16,176,2,0.8043478260869565,0.021739130434782594,0.8059492488439561,0.024429589053678813
rf,optimized_action,global4,68,2,0.808695652173913,0.0,0.8134004370643537,0.00018044244192022552
rf,optimized_action,global5,85,2,0.782608695652174,0.0,0.7872269050876535,0.0025376876181156804
rf,optimized_action,pyramid,255,2,0.7956521739130435,0.004347826086956552,0.8013514380859392,0.007881571766265527
rf,optimized_action,resample16,272,2,0.8130434782608695,0.03913043478260869,0.8091870906413037,0.044438273407614914
rf,optimized_full,global4,252,2,0.5043478260869565,0.052173913043478265,0.5103861652013948,0.05210339202500461
rf,optimized_full,global5,315,2,0.4913043478260869,0.05652173913043476,0.503331897803692,0.055437708229935906
rf,optimized_full,pyramid,945,2,0.3869565217391304,0.021739130434782622,0.3824633977330196,0.0320953993547517
rf,optimized_full,resample16,1008,2,0.5478260869565217,0.03478260869565214,0.5446938617840719,0.03835145311608179
rf,raw,global4,252,2,0.4260869565217391,0.01739130434782607,0.43009177369471485,0.018843087740146564
rf,raw,global5,315,2,0.4434782608695652,0.0,0.44902635012391107,0.0035985046960657074
rf,raw,pyramid,945,2,0.45217391304347826,0.06956521739130433,0.4566312604895562,0.08138280877451304
rf,raw,resample16,1008,2,0.5434782608695652,0.06521739130434784,0.5333522619763731,0.07418267490638986
rf,raw_pca11,global4,44,2,0.591304347826087,0.017391304347826098,0.5955339242974138,0.013081450302615483
rf,raw_pca11,global5,55,2,0.5869565217391304,0.030434782608695643,0.5978912598996062,0.04225876834034131
rf,raw_pca11,pyramid,165,2,0.6304347826086957,0.021739130434782594,0.6313932172687742,0.02599603447221055
rf,raw_pca11,resample16,176,2,0.7347826086956522,0.013043478260869545,0.7269377178090174,0.009972170163110361
rf,raw_pca17,global4,68,2,0.682608695652174,0.013043478260869545,0.6947455967500504,0.008428396428187157
rf,raw_pca17,global5,85,2,0.6608695652173913,0.008695652173913049,0.66619984227576,0.004376276956574221
rf,raw_pca17,pyramid,255,2,0.6956521739130435,0.04347826086956519,0.6990817504664704,0.03404272739484965
rf,raw_pca17,resample16,272,2,0.8260869565217391,0.017391304347826098,0.8279701727961924,0.015505407699848428
svm,corrected,global4,68,2,0.7695652173913043,0.013043478260869601,0.7783201119548893,0.010684165879175755
svm,corrected,global5,85,2,0.7739130434782608,0.008695652173913049,0.7845079693744985,0.012903031102893592
svm,corrected,pyramid,255,2,0.7782608695652173,0.056521739130434734,0.7885601398994255,0.052211522300808
svm,corrected,resample16,272,2,0.8,0.008695652173913049,0.8091663288779165,0.00764211646619839
svm,joint_angle,global4,44,2,0.7043478260869565,0.026086956521739146,0.7155744613659487,0.031920184451867895
svm,joint_angle,global5,55,2,0.7260869565217392,0.013043478260869545,0.7345997861175688,0.019095604816087186
svm,joint_angle,pyramid,165,2,0.808695652173913,0.02608695652173909,0.8167339907621947,0.021014256143029153
svm,joint_angle,resample16,176,2,0.8260869565217391,0.017391304347826098,0.8305199990887534,0.014553113885216407
svm,optimized_action,global4,68,2,0.7391304347826086,0.05217391304347824,0.7491059485952943,0.04964947018515575
svm,optimized_action,global5,85,2,0.7130434782608696,0.04347826086956519,0.7245870891590795,0.044694248082027876
svm,optimized_action,pyramid,255,2,0.7260869565217392,0.03913043478260869,0.7368775397482148,0.0322962787153408
svm,optimized_action,resample16,272,2,0.8043478260869565,0.021739130434782594,0.8111639229708816,0.021531240612076452
svm,optimized_full,global4,252,2,0.46521739130434786,0.06521739130434784,0.46462255783946615,0.057447496810375615
svm,optimized_full,global5,315,2,0.4565217391304348,0.03043478260869567,0.45567581021123105,0.029310830123112613
svm,optimized_full,pyramid,945,2,0.3739130434782609,0.026086956521739146,0.3690511342708309,0.017781537646043066
svm,optimized_full,resample16,1008,2,0.3565217391304348,0.008695652173913049,0.34717524122108445,0.00014210299281144922
svm,raw,global4,252,2,0.3913043478260869,0.03478260869565217,0.38967829486118344,0.04244548961195546
svm,raw,global5,315,2,0.4173913043478261,0.02608695652173912,0.41227805903063786,0.03335191980393579
svm,raw,pyramid,945,2,0.3782608695652174,0.03913043478260869,0.36894448244912614,0.051061089870611615
svm,raw,resample16,1008,2,0.4826086956521739,0.03043478260869567,0.4690544053878861,0.03294902756424209
svm,raw_pca11,global4,44,2,0.5478260869565217,0.008695652173913049,0.5606290985062843,0.006283460298416921
svm,raw_pca11,global5,55,2,0.5347826086956522,0.03913043478260869,0.5455341185311335,0.03611220035809193
svm,raw_pca11,pyramid,165,2,0.5217391304347826,0.03478260869565217,0.5291723546719911,0.03574285465498295
svm,raw_pca11,resample16,176,2,0.717391304347826,0.03913043478260869,0.7309495577839801,0.029690463485836593
svm,raw_pca17,global4,68,2,0.6130434782608696,0.013043478260869601,0.6163809268381162,0.011699403691223076
svm,raw_pca17,global5,85,2,0.5956521739130435,0.004347826086956497,0.596927089005234,0.0006320348909546469
