shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
1,svm,optimized_action_minus_raw,0.26000000000000006,0.06407108528622138,0.028809873499610783,20,0,0,8.832385863081277e-05
1,svm,optimized_action_minus_raw_pca17,0.11478260869565216,0.09755421157795985,0.04386572324099055,18,0,2,0.0006335429507586299
1,svm,optimized_action_minus_corrected,0.0008695652173912827,0.04151206352097396,0.01866610021360541,9,2,9,0.8787508845357724
1,knn,optimized_action_minus_raw,0.26000000000000006,0.06407108528622138,0.028809873499610783,20,0,0,8.832385863081277e-05
1,knn,optimized_action_minus_raw_pca17,0.1152173913043478,0.09795161029004117,0.0440444154946464,18,0,2,0.0006335429507586299
1,knn,optimized_action_minus_corrected,0.0008695652173912827,0.04151206352097396,0.01866610021360541,9,2,9,0.8787508845357724
1,rf,optimized_action_minus_raw,0.24173913043478262,0.06475780091099433,0.029118658502885406,20,0,0,8.819870204194453e-05
1,rf,optimized_action_minus_raw_pca17,0.13565217391304346,0.05816344872414138,0.0261534761360437,19,1,0,0.00013121408685711018
1,rf,optimized_action_minus_corrected,-0.012173913043478257,0.052922170625053694,0.023796710079460767,8,2,10,0.3261670383022405
1,mlp,optimized_action_minus_raw,0.23347826086956527,0.07928198578694509,0.035649528505973804,20,0,0,8.832385863081277e-05
1,mlp,optimized_action_minus_raw_pca17,0.12956521739130433,0.10699186407949927,0.048109409351316336,18,0,2,0.00041783974185279543
1,mlp,optimized_action_minus_corrected,-0.010869565217391295,0.05681362758857382,0.025546522531479654,8,0,12,0.34013623264128223
3,svm,optimized_action_minus_raw,0.34043478260869564,0.0682636388250236,0.030695075483526818,20,0,0,8.844915021211901e-05
3,svm,optimized_action_minus_raw_pca17,0.10826086956521738,0.05433739030241633,0.02443307045476637,19,0,1,0.00010191616788965856
3,svm,optimized_action_minus_corrected,-0.02478260869565217,0.0327994421087692,0.014748427840579453,4,4,12,0.005579549551551822
3,knn,optimized_action_minus_raw,0.33304347826086955,0.060689173691875625,0.027289180588218484,20,0,0,8.769942375590214e-05
3,knn,optimized_action_minus_raw_pca17,0.0956521739130435,0.07480282840906632,0.03363545371911693,18,1,1,0.00017540920089045736
3,knn,optimized_action_minus_corrected,-0.006956521739130417,0.03178376849129926,0.014291725284262775,9,1,10,0.5590313176702397
3,rf,optimized_action_minus_raw,0.34956521739130436,0.06078254649496101,0.027331166120899524,20,0,0,8.832385863081277e-05
3,rf,optimized_action_minus_raw_pca17,0.09956521739130435,0.05088814227867499,0.0228820993920967,19,0,1,0.00011035111729996059
3,rf,optimized_action_minus_corrected,-0.006521739130434789,0.027342952493095873,0.01229489088428733,8,2,10,0.45764089795468743
3,mlp,optimized_action_minus_raw,0.32913043478260867,0.07461432025013305,0.03355069011337729,20,0,0,8.844915021211901e-05
3,mlp,optimized_action_minus_raw_pca17,0.08652173913043479,0.04386566535860931,0.01972440866753303,19,0,1,0.00011846034107215899
3,mlp,optimized_action_minus_corrected,-0.007826086956521738,0.030731473125343124,0.013818555581549116,5,4,11,0.26343947373338883
5,svm,optimized_action_minus_raw,0.3382608695652174,0.06263888161200695,0.02816587618794563,20,0,0,8.844915021211901e-05
