repeat,split,sequence_id,label
0,train,2c611fe52599,orchid_palm
0,train,d714acc9b9f2,prayer_beads
0,train,4d93d544e72c,deer_horn
0,train,8c2dad0c4cfa,three_finger_bent
0,train,b58ff0b08ce6,deer_horn
0,train,92135167f589,orchid_finger
0,train,4a1b0f7cb862,orchid_finger
0,train,b84c025efb8c,flower_pinch
0,train,94336838e554,orchid_finger
0,train,cd47e798e2ae,three_finger_bent
0,train,83922cc421de,deer_horn
0,train,7e9d9bde7c38,prayer_beads
0,train,92cdf10f2594,orchid_palm
0,train,9b0d7cac27a4,flower_pinch
0,train,c7c202c809f7,three_finger_bent
0,train,4db7f3db8142,orchid_palm
0,train,ee7a7b5dd1d7,prayer_beads
0,train,7c5d2a4ee66e,flower_pinch
0,test,99315e5eaef4,deer_horn
0,test,c55847179934,prayer_beads
0,test,7a42a86413ee,deer_horn
0,test,d282dc86376e,three_finger_bent
0,test,505452b22e06,deer_horn
0,test,35a9c396f1a4,orchid_finger
0,test,412c0b227fc0,three_finger_bent
0,test,2472e1c1ad51,flower_pinch
0,test,bdbca1c9b840,flower_pinch
0,test,a69e7fdc59b2,flower_pinch
0,test,f499a3f8c193,prayer_beads
0,test,5ca5876b73e7,flower_pinch
0,test,eee4b32d4fd5,three_finger_bent
0,test,01fd6a3af833,flower_pinch
0,test,cdb90f5b9fec,deer_horn
0,test,a0ad3bbf32c6,orchid_finger
0,test,db135c9eec51,prayer_beads
0,test,ee6710fadfd3,orchid_finger
0,test,14b9a0194276,orchid_palm
0,test,3470642f312f,orchid_palm
0,test,607f4e7c3370,flower_pinch
0,test,b7755c98f813,deer_horn
0,test,6ef7848c1559,three_finger_bent
0,test,706d6f4c2061,three_finger_bent
0,test,c9c8314e6ee1,orchid_palm
0,test,90168382c6e9,orchid_palm
0,test,fc3e749cb1f3,flower_pinch
0,test,7597358efd8b,three_finger_bent
0,test,fbcd89dd30a3,prayer_beads
0,test,6248c818c98a,prayer_beads
0,test,a5277b949382,three_finger_bent
0,test,e4a25b86c09f,orchid_finger
0,test,f2b323c2533c,prayer_beads
0,test,cbfc925af7a9,prayer_beads
0,test,cf4a676b5324,deer_horn
0,test,5e4f7ed352eb,flower_pinch
0,test,a608ba06813c,orchid_finger
0,test,e635b04f95b4,orchid_finger
0,test,013813bfd4b6,three_finger_bent
0,test,8c7c0fb1c0f0,orchid_finger
0,test,9e82bd60bcff,orchid_finger
0,test,96fc17d19424,orchid_palm
0,test,53bc9d5f7ebc,prayer_beads
0,test,db39c266a790,deer_horn
0,test,e649d8e33325,deer_horn
0,test,15871d67f593,three_finger_bent
0,test,5bee273a53c9,orchid_palm
0,test,aedea94bab5a,prayer_beads
0,test,da1ffae5f0a2,orchid_palm
0,test,088859eb0563,deer_horn
0,test,96644269d5c5,orchid_palm
0,test,ad9e732b29b2,prayer_beads
0,test,04e16016884a,orchid_finger
0,test,13223bfbd5ee,flower_pinch
0,test,010a5011bcfd,orchid_finger
0,test,b7495fa948df,orchid_palm
0,test,e73522e35522,orchid_finger
0,test,f85ee5c0252c,flower_pinch
0,test,df281fd4d6c9,deer_horn
0,test,92ec2d35b523,prayer_beads
0,test,7d00828615b5,orchid_finger
0,test,6d6e57f6c646,orchid_palm
0,test,f0b24a58900a,prayer_beads
0,test,10669b510bec,orchid_palm
0,test,0811126d80b5,deer_horn
0,test,e705d6b681c2,deer_horn
0,test,f406413c3d58,prayer_beads
0,test,d2ada17068ed,orchid_palm
0,test,2a93c274a81c,orchid_finger
0,test,28d14f2d48f6,orchid_palm
0,test,a5fe68f14455,orchid_finger
0,test,bec0e0714be5,three_finger_bent
0,test,4517781a2c8f,orchid_palm
0,test,144ec3480b65,flower_pinch
0,test,0e4f4ee4e14c,flower_pinch
0,test,223f5619f740,flower_pinch
0,test,e83978ff4839,flower_pinch
0,test,78df284ad35b,prayer_beads
0,test,224a51a1dd12,orchid_palm
0,test,eae2b467b678,three_finger_bent
0,test,2898570d92e6,three_finger_bent
0,test,c44d56eae143,prayer_beads
0,test,49e9f07e201b,deer_horn
0,test,597539acae4b,orchid_palm
0,test,9b07ae691ee2,deer_horn
0,test,b4586f6ff52c,orchid_palm
0,test,05c116dc4ea7,three_finger_bent
0,test,a4d892c9d4e3,three_finger_bent
0,test,e1f91dcfe69d,three_finger_bent
0,test,02031cd71838,orchid_finger
0,test,b301d3628cb7,three_finger_bent
0,test,99a20727e3a0,orchid_palm
0,test,32ddc31572ea,deer_horn
0,test,539a413b384f,flower_pinch
0,test,b10fec1d468f,deer_horn
0,test,36f8da0a0c37,orchid_palm
0,test,c2467c682e7e,flower_pinch
0,test,fe91df670e61,prayer_beads
0,test,ef78d436972e,flower_pinch
0,test,a36973700099,orchid_finger
0,test,db70aea60cf4,flower_pinch
0,test,4597aaed3875,deer_horn
0,test,c719c5fab19e,orchid_finger
0,test,856427c201ac,orchid_palm
0,test,5efb0e1b3b94,orchid_finger
0,test,f1830d7435e4,deer_horn
0,test,31eb091e0bb6,three_finger_bent
0,test,9f965c57a01a,orchid_finger
0,test,4eb3a90dac1b,three_finger_bent
0,test,bd273b573d29,prayer_beads
0,test,5a3dc528e04d,deer_horn
0,test,80d5a563981a,orchid_palm
0,test,6fcd597770ab,flower_pinch
0,test,dd960d56ba2e,orchid_palm
0,test,aa1f81d624a9,prayer_beads
1,train,f43069368ec6,orchid_finger
1,train,a6deadfbe02c,three_finger_bent
1,train,ba5410675a72,prayer_beads
1,train,5ca5876b73e7,flower_pinch
1,train,5b21b741b1b5,orchid_finger
1,train,cdb921f24eb1,orchid_palm
1,train,af541dec2162,three_finger_bent
1,train,d750700162fe,three_finger_bent
1,train,c6ede3201cb2,deer_horn
1,train,cbef0ec6aba2,flower_pinch
1,train,db135c9eec51,prayer_beads
1,train,14b9a0194276,orchid_palm
1,train,b10fec1d468f,deer_horn
1,train,7d660200fd8d,orchid_palm
1,train,422b75765199,orchid_finger
1,train,2472e1c1ad51,flower_pinch
1,train,5a3dc528e04d,deer_horn
1,train,29d318a0a47c,prayer_beads
1,test,b6f557d08f31,flower_pinch
1,test,05c116dc4ea7,three_finger_bent
1,test,ead22ed8d1dd,orchid_finger
1,test,4a54ba657f5b,flower_pinch
1,test,e1fc3dd80451,orchid_palm
1,test,bc8e537307f0,deer_horn
1,test,a27fbc906336,flower_pinch
1,test,7d5fc5144077,orchid_finger
1,test,6d6e57f6c646,orchid_palm
1,test,cf06bd8e63b0,prayer_beads
1,test,4b2088a7f4bc,flower_pinch
1,test,f26082036e3f,prayer_beads
1,test,8f36d5ebd66e,flower_pinch
1,test,6ef7848c1559,three_finger_bent
1,test,13b67119bca1,prayer_beads
1,test,e6caf1c42e89,orchid_palm
1,test,3fe08dead7c2,deer_horn
1,test,be8d1d3c90c6,prayer_beads
1,test,c44d56eae143,prayer_beads
1,test,cc78a42c6dc0,three_finger_bent
1,test,1bdd3f18777d,orchid_palm
1,test,df438784161c,orchid_finger
1,test,37a478f65207,orchid_finger
1,test,2c611fe52599,orchid_palm
1,test,aa482e09b8bc,deer_horn
1,test,d2b4b7f80256,deer_horn
1,test,e98094963e55,flower_pinch
1,test,5bee273a53c9,orchid_palm
1,test,2d78255194cb,orchid_finger
1,test,b1f351513f50,orchid_palm
1,test,78df284ad35b,prayer_beads
1,test,81614312ef6c,three_finger_bent
1,test,e0cd28478a3a,orchid_palm
1,test,3d45f17da2ea,flower_pinch
1,test,65a0595f435f,orchid_finger
1,test,ad6b689f1d87,deer_horn
1,test,224a51a1dd12,orchid_palm
1,test,dd7fb6f24a48,deer_horn
1,test,8f5e5a691461,three_finger_bent
1,test,8d3758285d71,three_finger_bent
1,test,e641f135d028,orchid_palm
1,test,ee6710fadfd3,orchid_finger
1,test,49e9f07e201b,deer_horn
1,test,e2dfbd47d619,orchid_palm
1,test,e2d391c756d3,prayer_beads
1,test,bc6a0b9f695e,deer_horn
1,test,97d5716e7da1,orchid_finger
1,test,f2e413cd96f3,deer_horn
1,test,a727998a1b7d,orchid_palm
1,test,0cc3fe974e06,prayer_beads
1,test,c54b91205ad3,three_finger_bent
1,test,ee73f970fb19,prayer_beads
1,test,c2c1c6ba4cb1,flower_pinch
1,test,0945e8accdd1,deer_horn
1,test,d34423f0890a,orchid_palm
1,test,92ec2d35b523,prayer_beads
1,test,13271a043d83,orchid_finger
1,test,81ad1a9e78fa,orchid_palm
1,test,a7afff61595c,orchid_palm
1,test,7799cca66807,orchid_palm
1,test,66710026bce3,prayer_beads
1,test,72a235c9218a,three_finger_bent
1,test,b4bfdcc422a4,flower_pinch
1,test,4b7e191007f4,flower_pinch
1,test,d78701c28f85,three_finger_bent
1,test,f94a82f53977,flower_pinch
1,test,77f3501cc038,flower_pinch
1,test,ea0777b243d8,orchid_finger
1,test,a5fe68f14455,orchid_finger
1,test,db282ca439ed,flower_pinch
1,test,02031cd71838,orchid_finger
1,test,ea4c18ea28b7,three_finger_bent
1,test,3942ffd00cbd,deer_horn
1,test,56f5ccb9a473,flower_pinch
1,test,0de105d64406,orchid_finger
1,test,2c1e23d635ff,orchid_finger
1,test,55eefdffd49d,three_finger_bent
1,test,b7ac182a9b13,deer_horn
1,test,98c96afd8e2f,deer_horn
1,test,616da5f36963,three_finger_bent
1,test,4517781a2c8f,orchid_palm
1,test,26299f73f3f3,prayer_beads
1,test,6250536e5856,flower_pinch
1,test,a286c8c9db47,orchid_palm
1,test,c9a5b4833267,three_finger_bent
1,test,c17a0b2ed916,orchid_finger
1,test,c2467c682e7e,flower_pinch
1,test,6f511b9bd1e6,orchid_palm
1,test,6530ab71aaa2,deer_horn
1,test,90f1a984a449,orchid_palm
1,test,eeaedbdb7f0b,prayer_beads
1,test,8c2dad0c4cfa,three_finger_bent
1,test,53bc9d5f7ebc,prayer_beads
1,test,99ec30476f59,orchid_palm
1,test,22258c77b24a,three_finger_bent
1,test,e1f91dcfe69d,three_finger_bent
1,test,9814244d256e,deer_horn
1,test,fc3e749cb1f3,flower_pinch
1,test,e649d8e33325,deer_horn
1,test,a1eaec3a02b4,orchid_finger
1,test,a3bbc3e5bce8,prayer_beads
1,test,72fbde018892,deer_horn
1,test,5076fc9a1a84,orchid_finger
1,test,297c992a3f01,three_finger_bent
1,test,15b1b2a699ed,three_finger_bent
1,test,f26e45eb7249,prayer_beads
1,test,8a61a8d620d5,flower_pinch
1,test,6547058f5e6e,prayer_beads
1,test,99315e5eaef4,deer_horn
1,test,8255189f725d,prayer_beads
1,test,749278a7cbec,deer_horn
1,test,a608ba06813c,orchid_finger
1,test,a4a40ba1c9e1,orchid_finger
1,test,d2ada17068ed,orchid_palm
1,test,6fcd597770ab,flower_pinch
2,train,1d0e62a6a7aa,orchid_palm
2,train,7c907ad18ed9,three_finger_bent
2,train,f8c41f8182b0,orchid_finger
2,train,d0e025e85f60,prayer_beads
2,train,a822aed127f5,flower_pinch
2,train,1b440a811b8d,three_finger_bent
2,train,f25e3cbe53c1,deer_horn
2,train,14b9a0194276,orchid_palm
2,train,637c182456b3,flower_pinch
2,train,af21c5f117be,orchid_finger
2,train,55f3899121d9,orchid_palm
2,train,33bda61ed38a,orchid_finger
2,train,3d45f17da2ea,flower_pinch
2,train,9b07ae691ee2,deer_horn
2,train,167a4c6fc138,three_finger_bent
2,train,bc8e537307f0,deer_horn
2,train,c44d56eae143,prayer_beads
2,train,be4b7f82fc84,prayer_beads
2,test,ea3497d6cef4,orchid_finger
2,test,f26082036e3f,prayer_beads
2,test,505452b22e06,deer_horn
2,test,597f99241813,flower_pinch
2,test,8b6e948c5446,three_finger_bent
2,test,fbd9a6c1e22c,orchid_finger
2,test,83ecb8890a84,three_finger_bent
2,test,8434590289cd,orchid_palm
2,test,c9a5b4833267,three_finger_bent
2,test,2f6a97017de9,three_finger_bent
2,test,72a235c9218a,three_finger_bent
2,test,0de105d64406,orchid_finger
2,test,e078f346d502,three_finger_bent
2,test,e4a25b86c09f,orchid_finger
2,test,94336838e554,orchid_finger
2,test,4f1e2ed0c7db,prayer_beads
2,test,7d5fc5144077,orchid_finger
2,test,6e0825e4309a,flower_pinch
2,test,539a413b384f,flower_pinch
2,test,1ac2d6ad98c0,orchid_finger
2,test,d5692b1ff000,three_finger_bent
2,test,2c611fe52599,orchid_palm
2,test,a8b6f1321bd5,orchid_finger
2,test,01fd6a3af833,flower_pinch
2,test,b805d106eb4c,orchid_finger
2,test,e2dfbd47d619,orchid_palm
2,test,492ec5de579e,prayer_beads
2,test,ea9b0c52712b,orchid_finger
2,test,bdbca1c9b840,flower_pinch
2,test,4e949007e0e5,orchid_palm
2,test,8c56b18ab337,prayer_beads
2,test,418c8916b65e,orchid_palm
2,test,379735a15bb8,prayer_beads
2,test,05fccc72741b,orchid_finger
2,test,0e3664e2254e,orchid_palm
2,test,26299f73f3f3,prayer_beads
2,test,4816b5a56406,flower_pinch
2,test,08f6838eb763,deer_horn
2,test,e37d11d914db,three_finger_bent
2,test,eedcd7c58526,deer_horn
2,test,9966bb8d58c8,flower_pinch
2,test,cbef34d0c133,orchid_palm
2,test,42a4ec684008,orchid_finger
2,test,f1c7f228cedd,three_finger_bent
2,test,5b4f2bd3c6f1,prayer_beads
2,test,a4a40ba1c9e1,orchid_finger
2,test,a8d03726efc2,deer_horn
2,test,029acf1c8098,orchid_palm
2,test,f6e089c6ee0b,flower_pinch
2,test,d1f605f1fcc9,flower_pinch
2,test,65b37f058392,deer_horn
2,test,70915ba8c98c,flower_pinch
2,test,9b9c00604de9,orchid_palm
2,test,b0ab67dbfd24,three_finger_bent
2,test,b31399221485,three_finger_bent
2,test,cbfc925af7a9,prayer_beads
2,test,cf4a676b5324,deer_horn
2,test,98559383b333,flower_pinch
2,test,e98094963e55,flower_pinch
2,test,9d2ca79b7a9e,deer_horn
2,test,d1412a35214d,three_finger_bent
2,test,4d93d544e72c,deer_horn
2,test,eea8808072e4,three_finger_bent
2,test,e641f135d028,orchid_palm
2,test,775602311a86,orchid_palm
2,test,32ddc31572ea,deer_horn
2,test,385de3b26d97,flower_pinch
2,test,4fae75bc215d,orchid_palm
2,test,8764065ac663,orchid_palm
2,test,e35dc6af27b7,deer_horn
2,test,ad6b689f1d87,deer_horn
2,test,8cdafa911e69,orchid_palm
2,test,4b6d928951b9,three_finger_bent
2,test,a0c1252ee362,orchid_palm
2,test,13b67119bca1,prayer_beads
2,test,b3db83d5063a,prayer_beads
2,test,e1fc3dd80451,orchid_palm
2,test,c5b9fc9e3bb0,prayer_beads
2,test,7597358efd8b,three_finger_bent
2,test,9897660778b7,prayer_beads
2,test,d1ddba246804,orchid_palm
2,test,224a51a1dd12,orchid_palm
2,test,d6c6fae37fe5,deer_horn
2,test,9510f2b06a82,orchid_palm
2,test,ead22ed8d1dd,orchid_finger
2,test,699ea20fcd1b,prayer_beads
2,test,05c116dc4ea7,three_finger_bent
2,test,749278a7cbec,deer_horn
2,test,0ea7ad063ed0,flower_pinch
2,test,a27fbc906336,flower_pinch
2,test,239169458cfc,prayer_beads
2,test,7e9d9bde7c38,prayer_beads
2,test,90e40c3b645c,prayer_beads
2,test,79aab8196fdd,deer_horn
2,test,4e5c051aa222,prayer_beads
2,test,5076fc9a1a84,orchid_finger
2,test,f94a82f53977,flower_pinch
2,test,909ce0b40aeb,flower_pinch
2,test,8d490e349a56,deer_horn
2,test,df438784161c,orchid_finger
2,test,7b2397c1169e,orchid_finger
2,test,36f8da0a0c37,orchid_palm
2,test,cf2d104edd27,orchid_finger
2,test,68374eb33bd8,three_finger_bent
2,test,10669b510bec,orchid_palm
2,test,b84c025efb8c,flower_pinch
2,test,d3e4d9834acb,orchid_finger
2,test,cdb90f5b9fec,deer_horn
2,test,0811126d80b5,deer_horn
2,test,8e2dd6d14fff,flower_pinch
2,test,e1a23abc119d,deer_horn
2,test,b8fc1565ebd4,prayer_beads
2,test,5d7fd03c7e61,orchid_palm
2,test,c23fbde4e68a,deer_horn
2,test,297c992a3f01,three_finger_bent
3,train,cc78a42c6dc0,three_finger_bent
