dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw,raw,252,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.803704,0.079522,0.771918,0.088181,0.801667,0.090793,0.768421,0.080511,0.737350,0.090720,0.753039,0.087059
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,corrected,corrected,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.922222,0.064841,0.911495,0.074602,0.927407,0.074055,0.913158,0.065048,0.900808,0.074478,0.905633,0.076101
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_action,optimized_action,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.918519,0.057198,0.906574,0.064082,0.921204,0.061353,0.902632,0.069176,0.889096,0.078766,0.898202,0.073784
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_full,optimized_full,252,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.794444,0.113387,0.768493,0.125098,0.791779,0.131008,0.789474,0.106571,0.759434,0.122491,0.768385,0.120245
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw,raw,252,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.682407,0.107706,0.625882,0.107094,0.657513,0.110836,0.652632,0.088696,0.607274,0.099786,0.620848,0.095516
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,corrected,corrected,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.862037,0.076236,0.834841,0.094184,0.854815,0.110671,0.847368,0.077888,0.826482,0.088236,0.829424,0.098103
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_action,optimized_action,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.865741,0.080906,0.843175,0.095198,0.863399,0.097305,0.850000,0.080296,0.829525,0.091175,0.837569,0.092299
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_full,optimized_full,252,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.704630,0.130088,0.669550,0.133224,0.702130,0.128609,0.710526,0.123992,0.671299,0.140843,0.694524,0.125617
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw,raw,252,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.839815,0.066325,0.814577,0.081200,0.844630,0.074980,0.805263,0.072738,0.779120,0.082078,0.796504,0.079734
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,corrected,corrected,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.937037,0.034347,0.928333,0.040446,0.946759,0.037138,0.928947,0.041692,0.919139,0.047340,0.926053,0.041059
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_action,optimized_action,68,27,19,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.940741,0.053544,0.931032,0.065438,0.944907,0.063510,0.939474,0.050688,0.931024,0.057758,0.936729,0.053716
