shot,classifier,feature_set,true_label,predicted_label,count
1,knn,corrected,deer_horn,deer_horn,536
1,knn,corrected,deer_horn,flower_pinch,171
1,knn,corrected,deer_horn,orchid_finger,114
1,knn,corrected,deer_horn,orchid_palm,60
1,knn,corrected,deer_horn,prayer_beads,16
1,knn,corrected,deer_horn,three_finger_bent,53
1,knn,corrected,flower_pinch,deer_horn,101
1,knn,corrected,flower_pinch,flower_pinch,446
1,knn,corrected,flower_pinch,orchid_finger,47
1,knn,corrected,flower_pinch,orchid_palm,148
1,knn,corrected,flower_pinch,prayer_beads,20
1,knn,corrected,flower_pinch,three_finger_bent,188
1,knn,corrected,orchid_finger,deer_horn,206
1,knn,corrected,orchid_finger,flower_pinch,130
1,knn,corrected,orchid_finger,orchid_finger,394
1,knn,corrected,orchid_finger,orchid_palm,93
1,knn,corrected,orchid_finger,prayer_beads,31
1,knn,corrected,orchid_finger,three_finger_bent,71
1,knn,corrected,orchid_palm,deer_horn,83
1,knn,corrected,orchid_palm,flower_pinch,248
1,knn,corrected,orchid_palm,orchid_finger,119
1,knn,corrected,orchid_palm,orchid_palm,451
1,knn,corrected,orchid_palm,prayer_beads,98
1,knn,corrected,orchid_palm,three_finger_bent,101
1,knn,corrected,prayer_beads,deer_horn,44
1,knn,corrected,prayer_beads,flower_pinch,93
1,knn,corrected,prayer_beads,orchid_finger,66
1,knn,corrected,prayer_beads,orchid_palm,67
1,knn,corrected,prayer_beads,prayer_beads,627
1,knn,corrected,prayer_beads,three_finger_bent,28
1,knn,corrected,three_finger_bent,deer_horn,30
1,knn,corrected,three_finger_bent,flower_pinch,174
1,knn,corrected,three_finger_bent,orchid_finger,14
1,knn,corrected,three_finger_bent,orchid_palm,39
1,knn,corrected,three_finger_bent,prayer_beads,14
1,knn,corrected,three_finger_bent,three_finger_bent,629
1,knn,joint_angle,deer_horn,deer_horn,503
1,knn,joint_angle,deer_horn,flower_pinch,200
1,knn,joint_angle,deer_horn,orchid_finger,143
1,knn,joint_angle,deer_horn,orchid_palm,69
1,knn,joint_angle,deer_horn,prayer_beads,5
