shot,classifier,feature_set,condition,true_label,predicted_label,count
3,knn,corrected,clean,deer_horn,deer_horn,260
3,knn,corrected,clean,deer_horn,flower_pinch,55
3,knn,corrected,clean,deer_horn,orchid_finger,55
3,knn,corrected,clean,deer_horn,orchid_palm,6
3,knn,corrected,clean,deer_horn,prayer_beads,1
3,knn,corrected,clean,deer_horn,three_finger_bent,3
3,knn,corrected,clean,flower_pinch,deer_horn,25
3,knn,corrected,clean,flower_pinch,flower_pinch,252
3,knn,corrected,clean,flower_pinch,orchid_finger,13
3,knn,corrected,clean,flower_pinch,orchid_palm,61
3,knn,corrected,clean,flower_pinch,prayer_beads,1
3,knn,corrected,clean,flower_pinch,three_finger_bent,28
3,knn,corrected,clean,orchid_finger,deer_horn,83
3,knn,corrected,clean,orchid_finger,flower_pinch,24
3,knn,corrected,clean,orchid_finger,orchid_finger,228
3,knn,corrected,clean,orchid_finger,orchid_palm,22
3,knn,corrected,clean,orchid_finger,prayer_beads,1
3,knn,corrected,clean,orchid_finger,three_finger_bent,9
3,knn,corrected,clean,orchid_palm,deer_horn,21
3,knn,corrected,clean,orchid_palm,flower_pinch,98
3,knn,corrected,clean,orchid_palm,orchid_finger,48
3,knn,corrected,clean,orchid_palm,orchid_palm,232
3,knn,corrected,clean,orchid_palm,prayer_beads,30
3,knn,corrected,clean,orchid_palm,three_finger_bent,11
3,knn,corrected,clean,prayer_beads,deer_horn,20
3,knn,corrected,clean,prayer_beads,flower_pinch,7
3,knn,corrected,clean,prayer_beads,orchid_finger,19
3,knn,corrected,clean,prayer_beads,orchid_palm,6
3,knn,corrected,clean,prayer_beads,prayer_beads,315
3,knn,corrected,clean,prayer_beads,three_finger_bent,6
3,knn,corrected,clean,three_finger_bent,deer_horn,4
3,knn,corrected,clean,three_finger_bent,flower_pinch,63
3,knn,corrected,clean,three_finger_bent,orchid_finger,2
3,knn,corrected,clean,three_finger_bent,orchid_palm,1
3,knn,corrected,clean,three_finger_bent,prayer_beads,0
3,knn,corrected,clean,three_finger_bent,three_finger_bent,290
3,knn,corrected,occluded,deer_horn,deer_horn,257
3,knn,corrected,occluded,deer_horn,flower_pinch,34
3,knn,corrected,occluded,deer_horn,orchid_finger,53
3,knn,corrected,occluded,deer_horn,orchid_palm,11
3,knn,corrected,occluded,deer_horn,prayer_beads,4
3,knn,corrected,occluded,deer_horn,three_finger_bent,21
3,knn,corrected,occluded,flower_pinch,deer_horn,52
3,knn,corrected,occluded,flower_pinch,flower_pinch,198
3,knn,corrected,occluded,flower_pinch,orchid_finger,27
3,knn,corrected,occluded,flower_pinch,orchid_palm,49
3,knn,corrected,occluded,flower_pinch,prayer_beads,7
3,knn,corrected,occluded,flower_pinch,three_finger_bent,47
3,knn,corrected,occluded,orchid_finger,deer_horn,83
3,knn,corrected,occluded,orchid_finger,flower_pinch,20
3,knn,corrected,occluded,orchid_finger,orchid_finger,216
3,knn,corrected,occluded,orchid_finger,orchid_palm,25
3,knn,corrected,occluded,orchid_finger,prayer_beads,3
3,knn,corrected,occluded,orchid_finger,three_finger_bent,20
3,knn,corrected,occluded,orchid_palm,deer_horn,40
3,knn,corrected,occluded,orchid_palm,flower_pinch,97
3,knn,corrected,occluded,orchid_palm,orchid_finger,70
3,knn,corrected,occluded,orchid_palm,orchid_palm,180
3,knn,corrected,occluded,orchid_palm,prayer_beads,32
3,knn,corrected,occluded,orchid_palm,three_finger_bent,21
3,knn,corrected,occluded,prayer_beads,deer_horn,44
3,knn,corrected,occluded,prayer_beads,flower_pinch,30
3,knn,corrected,occluded,prayer_beads,orchid_finger,31
3,knn,corrected,occluded,prayer_beads,orchid_palm,35
3,knn,corrected,occluded,prayer_beads,prayer_beads,211
3,knn,corrected,occluded,prayer_beads,three_finger_bent,22
3,knn,corrected,occluded,three_finger_bent,deer_horn,25
3,knn,corrected,occluded,three_finger_bent,flower_pinch,49
3,knn,corrected,occluded,three_finger_bent,orchid_finger,18
3,knn,corrected,occluded,three_finger_bent,orchid_palm,13
3,knn,corrected,occluded,three_finger_bent,prayer_beads,7
3,knn,corrected,occluded,three_finger_bent,three_finger_bent,248
3,knn,optimized_action,clean,deer_horn,deer_horn,284
3,knn,optimized_action,clean,deer_horn,flower_pinch,41
3,knn,optimized_action,clean,deer_horn,orchid_finger,45
3,knn,optimized_action,clean,deer_horn,orchid_palm,5
3,knn,optimized_action,clean,deer_horn,prayer_beads,1
3,knn,optimized_action,clean,deer_horn,three_finger_bent,4
3,knn,optimized_action,clean,flower_pinch,deer_horn,24
3,knn,optimized_action,clean,flower_pinch,flower_pinch,235
3,knn,optimized_action,clean,flower_pinch,orchid_finger,12
3,knn,optimized_action,clean,flower_pinch,orchid_palm,59
3,knn,optimized_action,clean,flower_pinch,prayer_beads,2
3,knn,optimized_action,clean,flower_pinch,three_finger_bent,48
3,knn,optimized_action,clean,orchid_finger,deer_horn,79
3,knn,optimized_action,clean,orchid_finger,flower_pinch,34
3,knn,optimized_action,clean,orchid_finger,orchid_finger,215
3,knn,optimized_action,clean,orchid_finger,orchid_palm,26
3,knn,optimized_action,clean,orchid_finger,prayer_beads,2
3,knn,optimized_action,clean,orchid_finger,three_finger_bent,11
3,knn,optimized_action,clean,orchid_palm,deer_horn,19
3,knn,optimized_action,clean,orchid_palm,flower_pinch,84
3,knn,optimized_action,clean,orchid_palm,orchid_finger,43
3,knn,optimized_action,clean,orchid_palm,orchid_palm,235
3,knn,optimized_action,clean,orchid_palm,prayer_beads,44
3,knn,optimized_action,clean,orchid_palm,three_finger_bent,15
3,knn,optimized_action,clean,prayer_beads,deer_horn,17
3,knn,optimized_action,clean,prayer_beads,flower_pinch,7
3,knn,optimized_action,clean,prayer_beads,orchid_finger,18
3,knn,optimized_action,clean,prayer_beads,orchid_palm,11
3,knn,optimized_action,clean,prayer_beads,prayer_beads,316
3,knn,optimized_action,clean,prayer_beads,three_finger_bent,4
3,knn,optimized_action,clean,three_finger_bent,deer_horn,3
3,knn,optimized_action,clean,three_finger_bent,flower_pinch,73
3,knn,optimized_action,clean,three_finger_bent,orchid_finger,2
3,knn,optimized_action,clean,three_finger_bent,orchid_palm,6
3,knn,optimized_action,clean,three_finger_bent,prayer_beads,0
3,knn,optimized_action,clean,three_finger_bent,three_finger_bent,276
3,knn,optimized_action,occluded,deer_horn,deer_horn,265
3,knn,optimized_action,occluded,deer_horn,flower_pinch,28
3,knn,optimized_action,occluded,deer_horn,orchid_finger,47
3,knn,optimized_action,occluded,deer_horn,orchid_palm,13
3,knn,optimized_action,occluded,deer_horn,prayer_beads,3
3,knn,optimized_action,occluded,deer_horn,three_finger_bent,24
3,knn,optimized_action,occluded,flower_pinch,deer_horn,54
3,knn,optimized_action,occluded,flower_pinch,flower_pinch,176
3,knn,optimized_action,occluded,flower_pinch,orchid_finger,27
3,knn,optimized_action,occluded,flower_pinch,orchid_palm,47
3,knn,optimized_action,occluded,flower_pinch,prayer_beads,6
3,knn,optimized_action,occluded,flower_pinch,three_finger_bent,70
3,knn,optimized_action,occluded,orchid_finger,deer_horn,87
3,knn,optimized_action,occluded,orchid_finger,flower_pinch,21
3,knn,optimized_action,occluded,orchid_finger,orchid_finger,198
3,knn,optimized_action,occluded,orchid_finger,orchid_palm,35
