dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,svm,raw,raw,252,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.827778,0.108511,0.798512,0.118698,0.817500,0.125733,0.825000,0.090906,0.784142,0.111483,0.810962,0.095957
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,svm,corrected,corrected,68,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.940278,0.063510,0.926190,0.075925,0.927778,0.079858,0.945833,0.047690,0.933008,0.058611,0.939563,0.053069
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,svm,optimized_action,optimized_action,68,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.955556,0.064788,0.947460,0.074549,0.945833,0.080974,0.966667,0.040825,0.958478,0.050862,0.959802,0.050623
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,svm,optimized_full,optimized_full,252,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.775000,0.112114,0.735000,0.132714,0.759028,0.138072,0.791667,0.113346,0.742998,0.137057,0.766389,0.124025
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,knn,raw,raw,252,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.776389,0.139021,0.739425,0.147644,0.757778,0.149909,0.779167,0.132484,0.731900,0.157741,0.773304,0.128604
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,knn,corrected,corrected,68,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.926389,0.058449,0.901032,0.074704,0.917361,0.064321,0.900000,0.067700,0.878069,0.081871,0.898770,0.071310
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,knn,optimized_action,optimized_action,68,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.948611,0.041458,0.930556,0.057588,0.944444,0.043921,0.925000,0.058333,0.908424,0.070840,0.924167,0.061137
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,knn,optimized_full,optimized_full,252,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.738889,0.118634,0.700853,0.135716,0.731944,0.141935,0.750000,0.123603,0.694963,0.146398,0.733085,0.128414
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,rf,raw,raw,252,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.888889,0.063949,0.858829,0.082610,0.875833,0.090532,0.870833,0.061661,0.841341,0.075043,0.864494,0.071080
C:\D\projects\Orca robot hand\orca sim\orca_sim\diagnostics\gesture_sequence_dataset_chinese_dance_6class_after_fix.csv,rf,corrected,corrected,68,18,12,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.909722,0.086458,0.885040,0.098209,0.889583,0.099717,0.908333,0.074068,0.887368,0.090660,0.902282,0.080152
