classifier,comparison,mean_accuracy_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,full_minus_corrected,0.020833333333333336,4,16,0,0.05878172135535886
svm,full_minus_no_palm,0.020833333333333332,5,15,0,0.03843393023678171
svm,full_minus_no_acceleration,-0.004166666666666668,1,17,2,0.5637028616507731
svm,full_minus_no_temporal,0.0,2,16,2,1.0
svm,full_minus_l2,0.020833333333333332,6,12,2,0.18748568999522197
rf,full_minus_corrected,0.020833333333333336,7,11,2,0.14009141650550508
rf,full_minus_no_palm,0.016666666666666663,4,16,0,0.0633177868300456
rf,full_minus_no_acceleration,-0.008333333333333337,0,18,2,0.15729920705028502
rf,full_minus_no_temporal,-0.008333333333333331,1,16,3,0.4496917979688909
rf,full_minus_l2,0.004166666666666674,5,11,4,0.4652088184521417
