repeat,classifier,feature_set,accuracy,macro_f1,kappa
0,svm,corrected,0.9166666666666666,0.9428571428571427,0.896551724137931
1,svm,corrected,1.0,1.0,1.0
2,svm,corrected,1.0,1.0,1.0
3,svm,corrected,1.0,1.0,1.0
4,svm,corrected,1.0,1.0,1.0
5,svm,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,corrected,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,svm,corrected,0.9166666666666666,0.9333333333333332,0.8974358974358975
9,svm,corrected,1.0,1.0,1.0
10,svm,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,svm,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
12,svm,corrected,1.0,1.0,1.0
13,svm,corrected,1.0,1.0,1.0
14,svm,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
15,svm,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
16,svm,corrected,0.9166666666666666,0.942857142857143,0.896551724137931
17,svm,corrected,1.0,1.0,1.0
18,svm,corrected,0.8333333333333334,0.7999999999999999,0.7983193277310925
19,svm,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
0,rf,corrected,0.9166666666666666,0.9428571428571427,0.896551724137931
1,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,corrected,1.0,1.0,1.0
3,rf,corrected,1.0,1.0,1.0
4,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,rf,corrected,1.0,1.0,1.0
7,rf,corrected,0.8333333333333334,0.7444444444444445,0.7913043478260869
8,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,corrected,0.9166666666666666,0.9333333333333332,0.8974358974358975
10,rf,corrected,1.0,1.0,1.0
11,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
12,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
13,rf,corrected,0.9166666666666666,0.8095238095238096,0.8947368421052632
14,rf,corrected,0.8333333333333334,0.7222222222222222,0.7931034482758621
15,rf,corrected,1.0,1.0,1.0
16,rf,corrected,0.9166666666666666,0.9111111111111111,0.8983050847457628
17,rf,corrected,0.8333333333333334,0.8333333333333334,0.8
18,rf,corrected,0.75,0.75,0.7000000000000001
19,rf,corrected,0.75,0.6888888888888888,0.6896551724137931
0,svm,full,0.9166666666666666,0.9333333333333332,0.8974358974358975
1,svm,full,1.0,1.0,1.0
2,svm,full,1.0,1.0,1.0
3,svm,full,1.0,1.0,1.0
4,svm,full,1.0,1.0,1.0
5,svm,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,full,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,svm,full,0.9166666666666666,0.9333333333333332,0.8974358974358975
9,svm,full,1.0,1.0,1.0
10,svm,full,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,svm,full,1.0,1.0,1.0
12,svm,full,1.0,1.0,1.0
13,svm,full,1.0,1.0,1.0
14,svm,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
15,svm,full,1.0,1.0,1.0
16,svm,full,1.0,1.0,1.0
17,svm,full,1.0,1.0,1.0
18,svm,full,1.0,1.0,1.0
19,svm,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
0,rf,full,0.9166666666666666,0.8888888888888888,0.8974358974358975
1,rf,full,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,full,1.0,1.0,1.0
3,rf,full,1.0,1.0,1.0
4,rf,full,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,rf,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,rf,full,0.9166666666666666,0.9428571428571427,0.896551724137931
7,rf,full,0.9166666666666666,0.8095238095238096,0.8947368421052632
8,rf,full,0.9166666666666666,0.9111111111111111,0.8983050847457628
9,rf,full,1.0,1.0,1.0
10,rf,full,1.0,1.0,1.0
11,rf,full,1.0,1.0,1.0
12,rf,full,0.9166666666666666,0.9111111111111111,0.8983050847457628
13,rf,full,1.0,1.0,1.0
14,rf,full,0.8333333333333334,0.7222222222222222,0.7931034482758621
15,rf,full,0.9166666666666666,0.9333333333333332,0.8974358974358975
16,rf,full,1.0,1.0,1.0
17,rf,full,0.8333333333333334,0.8333333333333334,0.8
18,rf,full,0.8333333333333334,0.8333333333333334,0.8
19,rf,full,0.8333333333333334,0.7444444444444445,0.7913043478260869
0,svm,no_palm,0.9166666666666666,0.9428571428571427,0.896551724137931
1,svm,no_palm,0.9166666666666666,0.9111111111111111,0.896551724137931
2,svm,no_palm,1.0,1.0,1.0
3,svm,no_palm,1.0,1.0,1.0
4,svm,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
5,svm,no_palm,0.9166666666666666,0.8095238095238096,0.8947368421052632
6,svm,no_palm,0.9166666666666666,0.9333333333333332,0.8974358974358975
7,svm,no_palm,0.8333333333333334,0.7583333333333333,0.7894736842105263
8,svm,no_palm,0.9166666666666666,0.9333333333333332,0.8974358974358975
9,svm,no_palm,1.0,1.0,1.0
10,svm,no_palm,0.9166666666666666,0.9111111111111111,0.8983050847457628
11,svm,no_palm,1.0,1.0,1.0
12,svm,no_palm,1.0,1.0,1.0
13,svm,no_palm,1.0,1.0,1.0
14,svm,no_palm,0.8333333333333334,0.753968253968254,0.7894736842105263
15,svm,no_palm,1.0,1.0,1.0
16,svm,no_palm,0.9166666666666666,0.942857142857143,0.896551724137931
17,svm,no_palm,1.0,1.0,1.0
18,svm,no_palm,1.0,1.0,1.0
