classifier,feature_set,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,repeats
rf,corrected,0.9083333333333334,0.07406828681096324,0.8850396825396827,0.09820872198446592,0.8873677391387338,0.09066040676383967,20
rf,full,0.9291666666666665,0.06052432935972478,0.9080952380952378,0.08755504333563348,0.9129262669152627,0.07415921470323049,20
rf,l2,0.925,0.05204164998665332,0.9212301587301589,0.056530490304694765,0.9081613658058553,0.06357792060099977,20
rf,no_acceleration,0.9374999999999998,0.06387379048648288,0.9165079365079365,0.09143794043706989,0.9232268858365714,0.07827046706568404,20
rf,no_palm,0.9124999999999999,0.06166103577895307,0.9001984126984125,0.08140546834917108,0.8928953625733168,0.07527360249910223,20
rf,no_temporal,0.9374999999999998,0.06909634979907082,0.9295634920634921,0.08261019385949686,0.9233699701305597,0.0848724063610535,20
svm,corrected,0.9458333333333334,0.047689679759414995,0.9261904761904762,0.07592463542586332,0.9330078596768546,0.05861097810911186,20
svm,full,0.9666666666666666,0.04082482904638632,0.9474603174603174,0.07454895023644195,0.9584780072737255,0.0508624877653359,20
svm,l2,0.9458333333333334,0.05448623679425842,0.9162698412698413,0.09190582421186087,0.9328324467423874,0.06748236119662109,20
svm,no_acceleration,0.9708333333333332,0.03974746672570609,0.9563492063492063,0.06849256929313502,0.9636519789923195,0.04954116443606317,20
svm,no_palm,0.9458333333333334,0.05448623679425842,0.9308531746031747,0.08215664662647834,0.9324779094704345,0.06835415462620512,20
svm,no_temporal,0.9666666666666666,0.04082482904638632,0.9523809523809523,0.06814683359999356,0.9584345876879716,0.05091409966444073,20
