classifier,representation,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std
SVM,Raw,0.8250,0.0909,0.7985,0.1187,0.7841,0.1115
SVM,Corrected,0.9458,0.0477,0.9262,0.0759,0.9330,0.0586
SVM,Optimized Action,0.9542,0.0415,0.9378,0.0713,0.9429,0.0516
SVM,Optimized Full,0.7958,0.1163,0.7334,0.1534,0.7468,0.1437
KNN,Raw,0.7792,0.1325,0.7394,0.1476,0.7319,0.1577
KNN,Corrected,0.9000,0.0677,0.9010,0.0747,0.8781,0.0819
KNN,Optimized Action,0.9083,0.0786,0.9048,0.0897,0.8881,0.0955
KNN,Optimized Full,0.7542,0.1330,0.7028,0.1480,0.6998,0.1601
RandomForest,Raw,0.8708,0.0617,0.8588,0.0826,0.8413,0.0750
RandomForest,Corrected,0.9083,0.0741,0.8850,0.0982,0.8874,0.0907
RandomForest,Optimized Action,0.9292,0.0660,0.9168,0.0866,0.9130,0.0810
RandomForest,Optimized Full,0.8750,0.0968,0.8676,0.1218,0.8457,0.1188
MLP,Raw,0.8208,0.1030,0.7923,0.1273,0.7820,0.1220
MLP,Corrected,0.8958,0.0447,0.8781,0.0755,0.8720,0.0549
MLP,Optimized Action,0.9167,0.0646,0.9062,0.0851,0.8977,0.0791
MLP,Optimized Full,0.7708,0.1288,0.7141,0.1555,0.7162,0.1585
