repeat,classifier,feature_set,accuracy,macro_f1,kappa
0,svm,raw,0.75,0.6984126984126983,0.6896551724137931
1,svm,raw,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,svm,raw,0.9166666666666666,0.9428571428571427,0.896551724137931
3,svm,raw,0.6666666666666666,0.6095238095238095,0.5862068965517241
4,svm,raw,0.8333333333333334,0.7333333333333334,0.7931034482758621
5,svm,raw,0.9166666666666666,0.9428571428571427,0.896551724137931
6,svm,raw,0.8333333333333334,0.8539682539682539,0.7931034482758621
7,svm,raw,0.8333333333333334,0.8317460317460318,0.7948717948717949
8,svm,raw,0.9166666666666666,0.9206349206349206,0.8956521739130434
9,svm,raw,0.8333333333333334,0.7999999999999999,0.7983193277310925
10,svm,raw,0.8333333333333334,0.7111111111111111,0.7948717948717949
11,svm,raw,0.75,0.7261904761904762,0.6974789915966386
12,svm,raw,0.5833333333333334,0.49999999999999994,0.4871794871794872
13,svm,raw,0.8333333333333334,0.7583333333333333,0.7894736842105263
14,svm,raw,0.9166666666666666,0.9333333333333332,0.8974358974358974
15,svm,raw,0.9166666666666666,0.9111111111111111,0.896551724137931
16,svm,raw,0.9166666666666666,0.9206349206349206,0.8956521739130434
17,svm,raw,0.75,0.7999999999999999,0.6949152542372881
18,svm,raw,0.8333333333333334,0.7206349206349207,0.7894736842105263
19,svm,raw,0.75,0.7444444444444445,0.6974789915966386
0,knn,raw,0.75,0.5694444444444444,0.6842105263157895
1,knn,raw,1.0,1.0,1.0
2,knn,raw,0.75,0.688888888888889,0.6974789915966386
3,knn,raw,0.5833333333333334,0.5611111111111111,0.4871794871794872
4,knn,raw,0.5833333333333334,0.5499999999999999,0.4957983193277311
5,knn,raw,0.8333333333333334,0.7666666666666666,0.7948717948717949
6,knn,raw,0.9166666666666666,0.7777777777777778,0.896551724137931
7,knn,raw,0.9166666666666666,0.9111111111111111,0.8983050847457628
8,knn,raw,0.9166666666666666,0.9206349206349206,0.8956521739130434
9,knn,raw,0.75,0.7444444444444445,0.6949152542372881
10,knn,raw,0.75,0.6833333333333332,0.6923076923076923
11,knn,raw,0.75,0.7222222222222222,0.7024793388429752
12,knn,raw,0.5,0.4666666666666666,0.41463414634146345
13,knn,raw,0.9166666666666666,0.8888888888888888,0.8974358974358975
14,knn,raw,0.8333333333333334,0.8222222222222223,0.7966101694915254
15,knn,raw,0.5833333333333334,0.5277777777777778,0.5041322314049586
16,knn,raw,0.9166666666666666,0.9206349206349206,0.8956521739130434
17,knn,raw,0.75,0.7611111111111111,0.7
18,knn,raw,0.75,0.6555555555555556,0.6949152542372881
19,knn,raw,0.8333333333333334,0.85,0.7948717948717949
0,rf,raw,0.8333333333333334,0.753968253968254,0.7931034482758621
1,rf,raw,0.9166666666666666,0.9111111111111111,0.8983050847457628
2,rf,raw,0.9166666666666666,0.9206349206349206,0.8956521739130434
