classifier,feature_set,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,repeats
knn,corrected,0.9,0.06770032003863298,0.901031746031746,0.07470362200954801,0.8780685936365786,0.08187146597305889,20
knn,optimized_action,0.925,0.05833333333333333,0.9305555555555556,0.057587828789522504,0.9084238493311275,0.07083970410560483,20
knn,optimized_full,0.75,0.12360330811826106,0.7008531746031746,0.13571598410475383,0.6949633843427176,0.14639760511341932,20
knn,raw,0.7791666666666667,0.1324842757965387,0.739424603174603,0.1476435951492192,0.7319001027586053,0.1577405966605643,20
knn,raw_pca17,0.9125,0.0811163430580491,0.9100396825396826,0.08315713610060488,0.8937165370893829,0.09721334357542645,20
mlp,corrected,0.8958333333333333,0.044682522061515004,0.8781349206349205,0.07552556886265879,0.8720293913072744,0.054860532448336184,20
mlp,optimized_action,0.9124999999999999,0.06166103577895307,0.9049603174603174,0.07597351508059359,0.8927289073393954,0.07523932942800197,20
mlp,optimized_full,0.7833333333333333,0.11606990230986766,0.7275595238095238,0.1341945609679232,0.7330958084185981,0.1418313476404666,20
mlp,raw,0.8208333333333334,0.10299339245256894,0.7923015873015873,0.1272994844064921,0.7819978836418011,0.1220256364237115,20
mlp,raw_pca17,0.9166666666666666,0.08333333333333333,0.9235317460317459,0.08160886743263994,0.8988033688501252,0.10017900072033833,20
rf,corrected,0.9083333333333334,0.07406828681096324,0.8850396825396827,0.09820872198446592,0.8873677391387338,0.09066040676383967,20
rf,optimized_action,0.9291666666666665,0.06052432935972478,0.9080952380952378,0.08755504333563348,0.9129262669152627,0.07415921470323049,20
rf,optimized_full,0.85,0.08975274678557507,0.7898214285714286,0.13242422467319678,0.8128337220338603,0.11165349965021876,20
rf,raw,0.8708333333333333,0.06166103577895307,0.858829365079365,0.0826100389817386,0.841340959472622,0.07504331062677395,20
rf,raw_pca17,0.9458333333333334,0.0710780087884666,0.9527777777777777,0.05951190357119043,0.933594089526293,0.08706914408346256,20
svm,corrected,0.9458333333333334,0.047689679759414995,0.9261904761904762,0.07592463542586332,0.9330078596768546,0.05861097810911186,20
svm,optimized_action,0.9666666666666666,0.04082482904638632,0.9474603174603174,0.07454895023644195,0.9584780072737255,0.0508624877653359,20
svm,optimized_full,0.7916666666666667,0.11334558757279536,0.7350000000000001,0.1327141945882214,0.7429978247728621,0.13705686625251529,20
svm,raw,0.825,0.09090593428863095,0.7985119047619047,0.11869775806471372,0.7841416239222283,0.11148306632917641,20
svm,raw_pca17,0.8958333333333334,0.09455671431591846,0.8848743386243385,0.1020851042707474,0.8694200051634817,0.11869927169040098,20
