classifier,feature_set,feature_set_base,pca_components,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,cohen_kappa_mean,cohen_kappa_std
svm,raw,raw,0,0.631250,0.150390,0.614484,0.155160,0.675556,0.174372,0.638889,0.159571,0.440129,0.228678
svm,corrected,corrected,0,0.806250,0.108073,0.780754,0.128905,0.830000,0.132816,0.797222,0.116898,0.702487,0.167441
svm,optimized_action,optimized_action,0,0.850000,0.115920,0.828968,0.139004,0.869722,0.142524,0.838889,0.125339,0.767422,0.179919
svm,optimized_full,optimized_full,0,0.712500,0.185826,0.672341,0.207339,0.714365,0.210303,0.708333,0.189113,0.567505,0.275499
svm,raw_pca8,raw,8,0.756250,0.133902,0.726905,0.172874,0.793175,0.159833,0.747222,0.153634,0.623860,0.214069
svm,raw_pca12,raw,12,0.737500,0.152582,0.699643,0.191236,0.762698,0.192577,0.727778,0.169331,0.595224,0.240441
svm,raw_pca17,raw,17,0.718750,0.147240,0.673849,0.180235,0.764563,0.172293,0.702778,0.158382,0.566996,0.230488
svm,raw_pca24,raw,24,0.618750,0.092492,0.555437,0.136663,0.669127,0.186580,0.600000,0.107726,0.411815,0.149339
svm,raw_pca32,raw,32,0.562500,0.128087,0.474915,0.181914,0.563452,0.237733,0.536111,0.141939,0.321772,0.201881
svm,raw_pca48,raw,48,0.506250,0.139614,0.394404,0.199994,0.456845,0.285544,0.483333,0.143909,0.233999,0.222739
knn,raw,raw,0,0.587500,0.137500,0.539197,0.174469,0.615258,0.222041,0.572222,0.149175,0.359547,0.218740
knn,corrected,corrected,0,0.787500,0.125623,0.767103,0.145119,0.803056,0.148848,0.791667,0.128950,0.682179,0.186303
knn,optimized_action,optimized_action,0,0.806250,0.127934,0.780198,0.144047,0.830000,0.132990,0.808333,0.122317,0.711363,0.183956
knn,optimized_full,optimized_full,0,0.637500,0.205015,0.611988,0.231432,0.654861,0.256366,0.641667,0.208962,0.452833,0.310524
knn,raw_pca8,raw,8,0.781250,0.167122,0.767341,0.170078,0.812778,0.171514,0.775000,0.162423,0.666474,0.256010
knn,raw_pca12,raw,12,0.843750,0.141835,0.823968,0.158190,0.857500,0.151426,0.838889,0.147928,0.762460,0.215652
knn,raw_pca17,raw,17,0.787500,0.177218,0.775622,0.187398,0.823056,0.168117,0.788889,0.183081,0.678299,0.270788
knn,raw_pca24,raw,24,0.706250,0.206439,0.681984,0.217613,0.735556,0.229246,0.711111,0.209054,0.558310,0.311630
knn,raw_pca32,raw,32,0.693750,0.187396,0.677923,0.200500,0.749444,0.185733,0.697222,0.193629,0.542671,0.281203
knn,raw_pca48,raw,48,0.650000,0.187916,0.615384,0.204675,0.690476,0.187108,0.647222,0.199749,0.474461,0.280751
rf,raw,raw,0,0.593750,0.201071,0.541780,0.236933,0.606389,0.292441,0.575000,0.208814,0.368823,0.313114
rf,corrected,corrected,0,0.868750,0.108073,0.867857,0.105937,0.898611,0.091403,0.875000,0.100730,0.803019,0.161441
rf,optimized_action,optimized_action,0,0.893750,0.113709,0.883373,0.131351,0.905833,0.119380,0.894444,0.115068,0.839496,0.170501
rf,optimized_full,optimized_full,0,0.762500,0.208791,0.747976,0.205889,0.812222,0.182655,0.761111,0.204954,0.637073,0.322615
rf,raw_pca8,raw,8,0.843750,0.130354,0.820198,0.159736,0.845278,0.163868,0.838889,0.137100,0.760302,0.200544
rf,raw_pca12,raw,12,0.856250,0.106617,0.845595,0.124607,0.883611,0.112649,0.852778,0.114227,0.779227,0.165208
rf,raw_pca17,raw,17,0.825000,0.150000,0.800357,0.181390,0.836587,0.165000,0.819444,0.162802,0.732533,0.232879
rf,raw_pca24,raw,24,0.781250,0.147240,0.770476,0.158321,0.829167,0.138654,0.786111,0.147275,0.668756,0.224475
rf,raw_pca32,raw,32,0.775000,0.122474,0.754762,0.141192,0.817500,0.139513,0.777778,0.126686,0.659388,0.187000
rf,raw_pca48,raw,48,0.737500,0.167239,0.697222,0.199642,0.752421,0.191547,0.730556,0.179398,0.601023,0.252956
mlp,raw,raw,0,0.625000,0.181142,0.593360,0.209260,0.639008,0.217414,0.616667,0.195552,0.418845,0.286267
mlp,corrected,corrected,0,0.762500,0.176334,0.751706,0.179610,0.791944,0.182789,0.766667,0.174448,0.640983,0.268464
mlp,optimized_action,optimized_action,0,0.812500,0.170018,0.801270,0.169490,0.836667,0.167888,0.811111,0.164242,0.714756,0.257648
mlp,optimized_full,optimized_full,0,0.687500,0.195656,0.665278,0.208349,0.706667,0.218804,0.680556,0.205537,0.521522,0.303831
mlp,raw_pca8,raw,8,0.868750,0.139614,0.855198,0.153525,0.886944,0.136934,0.863889,0.145376,0.799912,0.211299
mlp,raw_pca12,raw,12,0.787500,0.172753,0.756019,0.201620,0.793333,0.213904,0.777778,0.181727,0.673073,0.271519
mlp,raw_pca17,raw,17,0.793750,0.168981,0.778095,0.192022,0.821667,0.181480,0.791667,0.180769,0.684666,0.261308
mlp,raw_pca24,raw,24,0.718750,0.141835,0.702288,0.160825,0.769167,0.151754,0.722222,0.155158,0.572577,0.217790
mlp,raw_pca32,raw,32,0.643750,0.159467,0.612487,0.180225,0.666944,0.178786,0.636111,0.167106,0.462743,0.240807
mlp,raw_pca48,raw,48,0.656250,0.162380,0.629524,0.183702,0.722976,0.192001,0.650000,0.168600,0.482159,0.241262
