classifier,feature_set,label,recall
svm,raw,deer_horn,0.84
svm,raw,flower_pinch,0.6833333333333333
svm,raw,orchid_finger,0.725
svm,raw,orchid_palm,0.9285714285714286
svm,raw,prayer_beads,0.9833333333333333
svm,raw,three_finger_bent,0.8148148148148148
svm,corrected,deer_horn,0.84
svm,corrected,flower_pinch,0.9166666666666666
svm,corrected,orchid_finger,0.975
svm,corrected,orchid_palm,1.0
svm,corrected,prayer_beads,0.95
svm,corrected,three_finger_bent,1.0
svm,optimized_action,deer_horn,0.84
svm,optimized_action,flower_pinch,0.95
svm,optimized_action,orchid_finger,1.0
svm,optimized_action,orchid_palm,1.0
svm,optimized_action,prayer_beads,0.9833333333333333
svm,optimized_action,three_finger_bent,1.0
