classifier,comparison,mean_accuracy_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
svm,full_minus_corrected,-0.021304347826086985,5,0,15,0.004476301032436539
svm,full_minus_no_palm,-0.010000000000000014,5,2,13,0.04939906806615475
svm,full_minus_no_acceleration,0.0065217391304347675,11,6,3,0.04946690260118362
svm,full_minus_no_temporal,0.01826086956521738,15,5,0,0.0006273373645791828
svm,full_minus_l2,0.07304347826086954,18,0,2,0.00018779425817474474
rf,full_minus_corrected,-0.015217391304347839,5,2,13,0.005796304163738335
rf,full_minus_no_palm,-0.004347826086956524,6,6,8,0.4685799416970253
rf,full_minus_no_acceleration,-0.0056521739130434845,5,4,11,0.2635201953293459
rf,full_minus_no_temporal,0.0065217391304347675,12,0,8,0.4204297802786967
rf,full_minus_l2,0.033913043478260865,17,0,3,0.007118777060853974
