repeat,classifier,feature_set,accuracy,macro_f1,kappa
0,svm,corrected,0.8608695652173913,0.8668693830573578,0.8328792007266121
1,svm,corrected,0.6695652173913044,0.6974361787725843,0.6014955316432611
2,svm,corrected,0.8,0.8099197099197099,0.7602863875294543
3,svm,corrected,0.7565217391304347,0.7683196582186035,0.707591718125681
4,svm,corrected,0.7217391304347827,0.7186776784881143,0.6667572217694467
5,svm,corrected,0.8173913043478261,0.8195198592257417,0.7814083997103548
6,svm,corrected,0.7130434782608696,0.7139184015447738,0.6558759521218716
7,svm,corrected,0.7304347826086957,0.7164248897390935,0.6778129236330773
8,svm,corrected,0.6521739130434783,0.6535195218438252,0.5817421349336243
9,svm,corrected,0.8782608695652174,0.8848312944951601,0.8535431638315292
10,svm,corrected,0.6347826086956522,0.6440587759850768,0.5612680534108456
11,svm,corrected,0.7565217391304347,0.7597282209547203,0.7076182693180786
12,svm,corrected,0.6869565217391305,0.702716762380628,0.6233624454148472
13,svm,corrected,0.8,0.8013901712204263,0.7599818511796733
14,svm,corrected,0.7217391304347827,0.7433581212465964,0.6632811785158752
15,svm,corrected,0.7304347826086957,0.7396809173973861,0.6770248233375611
16,svm,corrected,0.7304347826086957,0.7251165973275507,0.677433948606587
17,svm,corrected,0.7217391304347827,0.7136615631796591,0.667088836620228
18,svm,corrected,0.7913043478260869,0.7948065609330052,0.7492732558139534
19,svm,corrected,0.808695652173913,0.8116103248456191,0.7701880279771096
0,rf,corrected,0.8521739130434782,0.8490736073232488,0.8223534756928669
1,rf,corrected,0.782608695652174,0.7843770462191516,0.7395125486998279
2,rf,corrected,0.8434782608695652,0.8428704699564776,0.8123640319071791
3,rf,corrected,0.7913043478260869,0.8001380399213217,0.7495917256396298
4,rf,corrected,0.7478260869565218,0.7463948093104102,0.6973684210526316
5,rf,corrected,0.8173913043478261,0.8124189044920752,0.7813886122929302
6,rf,corrected,0.7652173913043478,0.7688391109443741,0.7181628392484343
7,rf,corrected,0.8521739130434782,0.8498841376890156,0.8229647740650186
8,rf,corrected,0.6260869565217392,0.5857133068048886,0.5509036418127327
9,rf,corrected,0.8608695652173913,0.8647289656181586,0.8328640203469888
10,rf,corrected,0.6782608695652174,0.6684959542102399,0.6145484192408732
11,rf,corrected,0.8260869565217391,0.8288048825436091,0.7912885662431942
12,rf,corrected,0.7739130434782608,0.7710652637123226,0.7290193945985137
13,rf,corrected,0.7913043478260869,0.7924371740161215,0.7496598639455783
14,rf,corrected,0.7652173913043478,0.7668756080520787,0.7182139940103458
15,rf,corrected,0.7739130434782608,0.7739380178404568,0.7292402426876754
16,rf,corrected,0.7652173913043478,0.7607210765105501,0.7186735525958141
17,rf,corrected,0.6869565217391305,0.6855666231755082,0.6253054575074668
18,rf,corrected,0.8521739130434782,0.8526480427796218,0.8223373318793167
19,rf,corrected,0.8,0.8015096073343417,0.7595891656062534
0,svm,full,0.8347826086956521,0.8400168093169155,0.8016881466690869
1,svm,full,0.6608695652173913,0.6848941414532811,0.5912322274881516
2,svm,full,0.7304347826086957,0.7218207718207718,0.6776964108127655
3,svm,full,0.7043478260869566,0.7190339845615545,0.6455122393472348
4,svm,full,0.7304347826086957,0.7361149663875631,0.6770540809855965
5,svm,full,0.7565217391304347,0.7561896022562316,0.7087817672062946
6,svm,full,0.7217391304347827,0.7207592600672578,0.6663947058290273
7,svm,full,0.7130434782608696,0.6977988382048279,0.6569956616052062
8,svm,full,0.6782608695652174,0.675119404486941,0.6129355044118985
9,svm,full,0.808695652173913,0.8190663280285921,0.7696020398870776
10,svm,full,0.6086956521739131,0.6266042780748663,0.5298446443172526
11,svm,full,0.7391304347826086,0.7448239932508058,0.6864206507907653
12,svm,full,0.6608695652173913,0.6777076316356502,0.5916788055353241
13,svm,full,0.7652173913043478,0.7606788435735804,0.7181372549019608
14,svm,full,0.7130434782608696,0.7293289346330738,0.6534879474068663
15,svm,full,0.7391304347826086,0.749040071095585,0.6871883216973433
16,svm,full,0.7565217391304347,0.7535722535722535,0.7084389713871786
17,svm,full,0.6695652173913044,0.657903982322587,0.6042025178878725
18,svm,full,0.7739130434782608,0.7759821423660237,0.7283546833833014
19,svm,full,0.7913043478260869,0.7942330100998832,0.749204906860518
0,rf,full,0.8521739130434782,0.8466575641721562,0.8225630785986567
1,rf,full,0.7739130434782608,0.7752175541649224,0.729093050647821
2,rf,full,0.782608695652174,0.7771075204727736,0.7396776530242666
3,rf,full,0.8,0.8011972498814605,0.7600907029478458
4,rf,full,0.7391304347826086,0.7347999469652929,0.6872166817769718
5,rf,full,0.808695652173913,0.8005127128309383,0.7710821570756425
6,rf,full,0.7739130434782608,0.7705422091814903,0.7290439510647939
7,rf,full,0.8260869565217391,0.8191910157533505,0.7917986783742192
8,rf,full,0.6347826086956522,0.611616378283045,0.5614672235336844
9,rf,full,0.8347826086956521,0.8384934864206933,0.8018679724338048
10,rf,full,0.6695652173913044,0.6496076648177296,0.6045606732422405
