classifier,feature_set,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,kappa_mean,kappa_std,repeats
knn,corrected,0.7030434782608695,0.07333662706700671,0.69864861075573,0.07654518847205043,0.6438392342825418,0.0878793324338239,20
knn,optimized_action,0.6804347826086957,0.06406961006465882,0.674129797588469,0.06645126967860765,0.616847912964618,0.07662976294069536,20
knn,optimized_full,0.41521739130434787,0.06377387984490666,0.4057858422879289,0.06831312017163962,0.29886653249841155,0.07558479129713751,20
knn,raw,0.35434782608695653,0.05172816836740407,0.3360441391748171,0.05861363626024722,0.22444468093463987,0.06189682503892031,20
knn,raw_pca17,0.5821739130434783,0.06363144114710484,0.5768280880287148,0.06733559668070838,0.49782369547197697,0.0768046990819433,20
mlp,corrected,0.7478260869565216,0.07160065687039617,0.747708687898823,0.07501916305235394,0.6975185283721107,0.08577106905453473,20
mlp,optimized_action,0.7330434782608696,0.06918920116359167,0.7326304970599782,0.07045356470102605,0.6798323618133699,0.08275614471473626,20
mlp,optimized_full,0.4573913043478261,0.07652173913043478,0.45183999098460215,0.0810563751506963,0.349009126707467,0.0916595712504467,20
mlp,raw,0.39217391304347826,0.050397287411624705,0.37845419903728245,0.04877798460344772,0.27031059783918143,0.06070939447013847,20
mlp,raw_pca17,0.6191304347826089,0.05067409490202944,0.617166624884098,0.049451667785698684,0.5425112510058702,0.061055301473521756,20
rf,corrected,0.782608695652174,0.061117507446280264,0.7803250324226986,0.06765712614849555,0.7392675039536636,0.07325214372758193,20
rf,optimized_action,0.7673913043478262,0.06263737265950896,0.7631524186707563,0.06664162621645413,0.7211444027565932,0.07504243154598923,20
rf,optimized_full,0.5060869565217392,0.09205077911526761,0.49732315828031226,0.09027136210248317,0.4077768115080299,0.11018151691052266,20
rf,raw,0.43086956521739134,0.04420907535840768,0.41452503627805887,0.04195056242413193,0.3163426260812511,0.05358990677672363,20
rf,raw_pca17,0.6543478260869565,0.055466742705100325,0.6504650475817257,0.055363035327965875,0.5852171096690237,0.06639465280816087,20
svm,corrected,0.7491304347826087,0.06391600111464822,0.7542782295387817,0.06316688724161564,0.6987956662109837,0.0769264465011421,20
svm,optimized_action,0.7278260869565216,0.0536106526671247,0.7320344623604123,0.05194983249486906,0.6732425744205361,0.0645467857258046,20
svm,optimized_full,0.4578260869565217,0.07661432146347137,0.4546421621647004,0.07670996887134096,0.3497306054323057,0.0911361539099836,20
svm,raw,0.38869565217391305,0.038013031294598945,0.3761130433316003,0.039552407913240016,0.266400815034735,0.04611825459880354,20
svm,raw_pca17,0.6339130434782609,0.05024702682849973,0.6381540824426389,0.05343291133454845,0.560363691262842,0.06009569992855594,20
