classifier,feature_set,label,recall
svm,raw,deer_horn,0.55
svm,raw,flower_pinch,0.35
svm,raw,orchid_finger,0.3896457765667575
svm,raw,orchid_palm,0.26590909090909093
svm,raw,prayer_beads,0.4316353887399464
svm,raw,three_finger_bent,0.3638888888888889
svm,corrected,deer_horn,0.7210526315789474
svm,corrected,flower_pinch,0.7289473684210527
svm,corrected,orchid_finger,0.7465940054495913
svm,corrected,orchid_palm,0.6227272727272727
svm,corrected,prayer_beads,0.839142091152815
svm,corrected,three_finger_bent,0.8638888888888889
svm,optimized_action,deer_horn,0.7315789473684211
svm,optimized_action,flower_pinch,0.6921052631578948
svm,optimized_action,orchid_finger,0.7220708446866485
svm,optimized_action,orchid_palm,0.5977272727272728
svm,optimized_action,prayer_beads,0.8310991957104558
svm,optimized_action,three_finger_bent,0.8194444444444444
