repeat,classifier,feature_set,accuracy,macro_f1,kappa
0,svm,raw,0.34782608695652173,0.33620391953725287,0.21283197955644806
1,svm,raw,0.4260869565217391,0.3938057040998218,0.3128112267994567
2,svm,raw,0.3652173913043478,0.3408502608502609,0.2410270319139317
3,svm,raw,0.4260869565217391,0.4274345673884012,0.3098745226404801
4,svm,raw,0.4608695652173913,0.42876212955677945,0.3546927323739706
5,svm,raw,0.41739130434782606,0.3813321385902031,0.30246242983885574
6,svm,raw,0.3739130434782609,0.36645233851116205,0.25033952014486205
7,svm,raw,0.3826086956521739,0.3768290840445312,0.2612865285442867
8,svm,raw,0.33043478260869563,0.3146339041182318,0.19849746560463444
9,svm,raw,0.3739130434782609,0.3649638889000591,0.2467248908296944
10,svm,raw,0.3739130434782609,0.3738609133444684,0.2502716407098877
11,svm,raw,0.3565217391304348,0.33011448395257953,0.22424794895168643
12,svm,raw,0.43478260869565216,0.43834605914437846,0.3224870842019397
13,svm,raw,0.3217391304347826,0.3253518411413148,0.18727915194346278
14,svm,raw,0.40869565217391307,0.4093174513255649,0.2903811252268602
15,svm,raw,0.4434782608695652,0.444910169136215,0.332062800617116
16,svm,raw,0.3739130434782609,0.34885320970610123,0.24802470257015719
17,svm,raw,0.391304347826087,0.36811509746292354,0.2709654048179678
18,svm,raw,0.41739130434782606,0.41786195697960404,0.298844298844299
19,svm,raw,0.34782608695652173,0.3342617488421515,0.21290381456470153
0,knn,raw,0.33043478260869563,0.32370467157052524,0.19463392451114148
1,knn,raw,0.3826086956521739,0.34645136255509645,0.2579970919665575
2,knn,raw,0.3217391304347826,0.3091443187890975,0.18896925858951164
3,knn,raw,0.45217391304347826,0.4392477749066896,0.34434389140271504
4,knn,raw,0.3565217391304348,0.3304108863571779,0.22853775722962577
5,knn,raw,0.3826086956521739,0.33627974114547005,0.2616873135003164
6,knn,raw,0.43478260869565216,0.43901540442893827,0.32217990569459565
7,knn,raw,0.3391304347826087,0.32435094725949304,0.20811814804747653
8,knn,raw,0.30434782608695654,0.27976250845165646,0.16681760550624902
9,knn,raw,0.3391304347826087,0.3326181754753183,0.20740001813729936
10,knn,raw,0.26956521739130435,0.2415579121461474,0.12213740458015265
11,knn,raw,0.3565217391304348,0.3192913999759004,0.22318575992697398
12,knn,raw,0.45217391304347826,0.46483468033000147,0.3402841012566018
13,knn,raw,0.25217391304347825,0.22763228730670057,0.10594829144820106
14,knn,raw,0.3391304347826087,0.3170868605079131,0.21019338514368335
15,knn,raw,0.3739130434782609,0.3599797332533905,0.24390466624052587
16,knn,raw,0.30434782608695654,0.28033490923334986,0.1588186888543477
17,knn,raw,0.3652173913043478,0.34946870494783205,0.23916983868044228
18,knn,raw,0.3826086956521739,0.371980878121229,0.25447406866325784
19,knn,raw,0.34782608695652173,0.3277296267344147,0.2100924993131239
