shot,classifier,feature_set,true_label,predicted_label,count
1,knn,corrected,deer_horn,deer_horn,211
1,knn,corrected,deer_horn,flower_pinch,71
1,knn,corrected,deer_horn,orchid_finger,46
1,knn,corrected,deer_horn,orchid_palm,26
1,knn,corrected,deer_horn,prayer_beads,5
1,knn,corrected,deer_horn,three_finger_bent,21
1,knn,corrected,flower_pinch,deer_horn,32
1,knn,corrected,flower_pinch,flower_pinch,167
1,knn,corrected,flower_pinch,orchid_finger,21
1,knn,corrected,flower_pinch,orchid_palm,64
1,knn,corrected,flower_pinch,prayer_beads,6
1,knn,corrected,flower_pinch,three_finger_bent,90
1,knn,corrected,orchid_finger,deer_horn,81
1,knn,corrected,orchid_finger,flower_pinch,65
1,knn,corrected,orchid_finger,orchid_finger,151
1,knn,corrected,orchid_finger,orchid_palm,38
1,knn,corrected,orchid_finger,prayer_beads,10
1,knn,corrected,orchid_finger,three_finger_bent,22
1,knn,corrected,orchid_palm,deer_horn,44
1,knn,corrected,orchid_palm,flower_pinch,98
1,knn,corrected,orchid_palm,orchid_finger,48
1,knn,corrected,orchid_palm,orchid_palm,177
1,knn,corrected,orchid_palm,prayer_beads,31
1,knn,corrected,orchid_palm,three_finger_bent,42
1,knn,corrected,prayer_beads,deer_horn,16
1,knn,corrected,prayer_beads,flower_pinch,22
1,knn,corrected,prayer_beads,orchid_finger,38
1,knn,corrected,prayer_beads,orchid_palm,22
1,knn,corrected,prayer_beads,prayer_beads,267
1,knn,corrected,prayer_beads,three_finger_bent,8
1,knn,corrected,three_finger_bent,deer_horn,8
1,knn,corrected,three_finger_bent,flower_pinch,74
1,knn,corrected,three_finger_bent,orchid_finger,4
1,knn,corrected,three_finger_bent,orchid_palm,17
1,knn,corrected,three_finger_bent,prayer_beads,3
1,knn,corrected,three_finger_bent,three_finger_bent,254
1,knn,optimized_action,deer_horn,deer_horn,225
1,knn,optimized_action,deer_horn,flower_pinch,57
1,knn,optimized_action,deer_horn,orchid_finger,40
1,knn,optimized_action,deer_horn,orchid_palm,23
1,knn,optimized_action,deer_horn,prayer_beads,10
1,knn,optimized_action,deer_horn,three_finger_bent,25
1,knn,optimized_action,flower_pinch,deer_horn,39
1,knn,optimized_action,flower_pinch,flower_pinch,161
1,knn,optimized_action,flower_pinch,orchid_finger,20
1,knn,optimized_action,flower_pinch,orchid_palm,55
1,knn,optimized_action,flower_pinch,prayer_beads,4
1,knn,optimized_action,flower_pinch,three_finger_bent,101
1,knn,optimized_action,orchid_finger,deer_horn,90
1,knn,optimized_action,orchid_finger,flower_pinch,47
1,knn,optimized_action,orchid_finger,orchid_finger,145
1,knn,optimized_action,orchid_finger,orchid_palm,46
1,knn,optimized_action,orchid_finger,prayer_beads,10
1,knn,optimized_action,orchid_finger,three_finger_bent,29
1,knn,optimized_action,orchid_palm,deer_horn,48
1,knn,optimized_action,orchid_palm,flower_pinch,74
1,knn,optimized_action,orchid_palm,orchid_finger,49
1,knn,optimized_action,orchid_palm,orchid_palm,183
1,knn,optimized_action,orchid_palm,prayer_beads,35
1,knn,optimized_action,orchid_palm,three_finger_bent,51
1,knn,optimized_action,prayer_beads,deer_horn,19
1,knn,optimized_action,prayer_beads,flower_pinch,16
1,knn,optimized_action,prayer_beads,orchid_finger,37
1,knn,optimized_action,prayer_beads,orchid_palm,25
1,knn,optimized_action,prayer_beads,prayer_beads,268
1,knn,optimized_action,prayer_beads,three_finger_bent,8
1,knn,optimized_action,three_finger_bent,deer_horn,7
1,knn,optimized_action,three_finger_bent,flower_pinch,76
1,knn,optimized_action,three_finger_bent,orchid_finger,9
1,knn,optimized_action,three_finger_bent,orchid_palm,20
1,knn,optimized_action,three_finger_bent,prayer_beads,1
1,knn,optimized_action,three_finger_bent,three_finger_bent,247
1,knn,optimized_full,deer_horn,deer_horn,109
1,knn,optimized_full,deer_horn,flower_pinch,43
1,knn,optimized_full,deer_horn,orchid_finger,65
1,knn,optimized_full,deer_horn,orchid_palm,45
1,knn,optimized_full,deer_horn,prayer_beads,35
1,knn,optimized_full,deer_horn,three_finger_bent,83
1,knn,optimized_full,flower_pinch,deer_horn,52
1,knn,optimized_full,flower_pinch,flower_pinch,83
1,knn,optimized_full,flower_pinch,orchid_finger,58
1,knn,optimized_full,flower_pinch,orchid_palm,63
1,knn,optimized_full,flower_pinch,prayer_beads,27
1,knn,optimized_full,flower_pinch,three_finger_bent,97
1,knn,optimized_full,orchid_finger,deer_horn,55
1,knn,optimized_full,orchid_finger,flower_pinch,63
1,knn,optimized_full,orchid_finger,orchid_finger,85
