shot,classifier,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p
1,svm,optimized_action_minus_raw,0.24799999999999997,0.061148182221844635,0.017121491022116495,50,0,0,7.505822754296227e-10
1,svm,optimized_action_minus_raw_pca17,0.10365217391304346,0.08643040842750414,0.02420051435970116,44,0,6,3.6280625436019304e-08
1,svm,optimized_action_minus_corrected,-0.014086956521739143,0.047465518277280114,0.01329034511763843,16,4,30,0.02916326596901228
1,knn,optimized_action_minus_raw,0.24799999999999997,0.061148182221844635,0.017121491022116495,50,0,0,7.505822754296227e-10
1,knn,optimized_action_minus_raw_pca17,0.10382608695652172,0.08663261412347936,0.02425713195457422,44,0,6,3.62740139954543e-08
1,knn,optimized_action_minus_corrected,-0.014086956521739143,0.047465518277280114,0.01329034511763843,16,4,30,0.02916326596901228
1,rf,optimized_action_minus_raw,0.24539130434782608,0.05939302308290322,0.0166300464632129,50,0,0,7.516019188167875e-10
1,rf,optimized_action_minus_raw_pca17,0.12869565217391302,0.06912906752818014,0.01935613890789044,47,1,2,1.601305523218263e-09
1,rf,optimized_action_minus_corrected,-0.019130434782608695,0.05162025071184635,0.01445367019931698,14,3,33,0.006824384047356515
1,mlp,optimized_action_minus_raw,0.21304347826086956,0.07729353863882743,0.02164219081887168,50,0,0,7.521122069214676e-10
1,mlp,optimized_action_minus_raw_pca17,0.11669565217391302,0.09689454053184382,0.02713047134891627,43,0,7,3.9436784478144476e-08
1,mlp,optimized_action_minus_corrected,-0.02191304347826087,0.04829775323826041,0.013523370906712915,12,3,35,0.0027834330571446016
3,svm,optimized_action_minus_raw,0.32121739130434784,0.07563538044491651,0.02117790652457662,50,0,0,7.517719802882834e-10
3,svm,optimized_action_minus_raw_pca17,0.10156521739130435,0.06867781826847154,0.01922978911517203,45,1,4,3.969414647026733e-09
3,svm,optimized_action_minus_corrected,-0.022608695652173907,0.0335881876797008,0.009404692550316224,11,4,35,3.1343763155818977e-05
3,knn,optimized_action_minus_raw,0.31199999999999994,0.07537961897304694,0.021106293312453145,50,0,0,7.52622806189462e-10
3,knn,optimized_action_minus_raw_pca17,0.08956521739130435,0.08527504704421565,0.023877013172380376,41,1,8,1.012659082155517e-07
3,knn,optimized_action_minus_corrected,-0.01565217391304347,0.035895247722696165,0.010050669362354927,14,6,30,0.0072372314989192724
3,rf,optimized_action_minus_raw,0.3299130434782609,0.06738788210104449,0.018868606988292454,50,0,0,7.527930751217349e-10
3,rf,optimized_action_minus_raw_pca17,0.0933913043478261,0.06635665791124006,0.018579864215147214,44,0,6,4.0947520345008604e-09
3,rf,optimized_action_minus_corrected,-0.009391304347826084,0.03407275658089311,0.009540371842650072,19,5,26,0.0787805693055603
3,mlp,optimized_action_minus_raw,0.3123478260869565,0.0667663023570632,0.018694564659977694,50,0,0,7.521122069214676e-10
3,mlp,optimized_action_minus_raw_pca17,0.07669565217391304,0.07453325465286846,0.020869311302803166,45,0,5,3.251037507462491e-07
3,mlp,optimized_action_minus_corrected,-0.027826086956521747,0.03512871282908549,0.009836039592143938,7,6,37,1.0197555083289677e-05
5,svm,optimized_action_minus_raw,0.3295652173913044,0.060426962271623266,0.01691954943605451,50,0,0,7.536449388836203e-10
