dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.638889,0.159571,0.614484,0.155160,0.675556,0.174372,0.631250,0.150390,0.440129,0.228678,0.611890,0.153962
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,corrected,corrected,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.797222,0.116898,0.780754,0.128905,0.830000,0.132816,0.806250,0.108073,0.702487,0.167441,0.787932,0.120022
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_action,optimized_action,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.838889,0.125339,0.828968,0.139004,0.869722,0.142524,0.850000,0.115920,0.767422,0.179919,0.833839,0.131512
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.708333,0.189113,0.672341,0.207339,0.714365,0.210303,0.712500,0.185826,0.567505,0.275499,0.683958,0.205854
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca8,raw,32,9,8,yes,3,20,0.2,42,8,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.747222,0.153634,0.726905,0.172874,0.793175,0.159833,0.756250,0.133902,0.623860,0.214069,0.737143,0.158699
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca12,raw,48,9,8,yes,3,20,0.2,42,12,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.727778,0.169331,0.699643,0.191236,0.762698,0.192577,0.737500,0.152582,0.595224,0.240441,0.711473,0.180331
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca17,raw,68,9,8,yes,3,20,0.2,42,17,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.702778,0.158382,0.673849,0.180235,0.764563,0.172293,0.718750,0.147240,0.566996,0.230488,0.690521,0.167522
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca24,raw,96,9,8,yes,3,20,0.2,42,24,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.600000,0.107726,0.555437,0.136663,0.669127,0.186580,0.618750,0.092492,0.411815,0.149339,0.573973,0.125108
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca32,raw,128,9,8,yes,3,20,0.2,42,32,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.536111,0.141939,0.474915,0.181914,0.563452,0.237733,0.562500,0.128087,0.321772,0.201881,0.499805,0.173203
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,svm,raw_pca48,raw,192,9,8,yes,3,20,0.2,42,48,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.483333,0.143909,0.394404,0.199994,0.456845,0.285544,0.506250,0.139614,0.233999,0.222739,0.414339,0.196858
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.572222,0.149175,0.539197,0.174469,0.615258,0.222041,0.587500,0.137500,0.359547,0.218740,0.546388,0.165287
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,corrected,corrected,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.791667,0.128950,0.767103,0.145119,0.803056,0.148848,0.787500,0.125623,0.682179,0.186303,0.776533,0.140790
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_action,optimized_action,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.808333,0.122317,0.780198,0.144047,0.830000,0.132990,0.806250,0.127934,0.711363,0.183956,0.790223,0.137925
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.641667,0.208962,0.611988,0.231432,0.654861,0.256366,0.637500,0.205015,0.452833,0.310524,0.614141,0.228829
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca8,raw,32,9,8,yes,3,20,0.2,42,8,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.775000,0.162423,0.767341,0.170078,0.812778,0.171514,0.781250,0.167122,0.666474,0.256010,0.772009,0.176174
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca12,raw,48,9,8,yes,3,20,0.2,42,12,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.838889,0.147928,0.823968,0.158190,0.857500,0.151426,0.843750,0.141835,0.762460,0.215652,0.831964,0.151774
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca17,raw,68,9,8,yes,3,20,0.2,42,17,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.788889,0.183081,0.775622,0.187398,0.823056,0.168117,0.787500,0.177218,0.678299,0.270788,0.780074,0.182353
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca24,raw,96,9,8,yes,3,20,0.2,42,24,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.711111,0.209054,0.681984,0.217613,0.735556,0.229246,0.706250,0.206439,0.558310,0.311630,0.688690,0.215895
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca32,raw,128,9,8,yes,3,20,0.2,42,32,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.697222,0.193629,0.677923,0.200500,0.749444,0.185733,0.693750,0.187396,0.542671,0.281203,0.688110,0.191151
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,knn,raw_pca48,raw,192,9,8,yes,3,20,0.2,42,48,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.647222,0.199749,0.615384,0.204675,0.690476,0.187108,0.650000,0.187916,0.474461,0.280751,0.631622,0.194677
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.575000,0.208814,0.541780,0.236933,0.606389,0.292441,0.593750,0.201071,0.368823,0.313114,0.551377,0.230396
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,corrected,corrected,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.875000,0.100730,0.867857,0.105937,0.898611,0.091403,0.868750,0.108073,0.803019,0.161441,0.868631,0.106913
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_action,optimized_action,68,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.894444,0.115068,0.883373,0.131351,0.905833,0.119380,0.893750,0.113709,0.839496,0.170501,0.887128,0.123525
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.761111,0.204954,0.747976,0.205889,0.812222,0.182655,0.762500,0.208791,0.637073,0.322615,0.751414,0.207765
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_optimized_v2.csv,rf,raw_pca8,raw,32,9,8,yes,3,20,0.2,42,8,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.838889,0.137100,0.820198,0.159736,0.845278,0.163868,0.843750,0.130354,0.760302,0.200544,0.826473,0.148778
