dataset,classifier,feature_set,feature_set_base,num_features,num_train,num_test,sequence_mode,shots_per_class,repeats,test_size,random_state,pca_components,c,gamma,knn_neighbors,knn_weights,rf_estimators,rf_max_depth,mlp_hidden_sizes,mlp_alpha,mlp_learning_rate,mlp_max_iter,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,accuracy_mean,accuracy_std,cohen_kappa_mean,cohen_kappa_std,weighted_f1_mean,weighted_f1_std
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.638889,0.159571,0.614484,0.155160,0.675556,0.174372,0.631250,0.150390,0.440129,0.228678,0.611890,0.153962
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,moving_average_raw,moving_average_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.661111,0.163771,0.633598,0.169238,0.690833,0.180588,0.650000,0.156125,0.470301,0.236062,0.629256,0.166999
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,savgol_raw,savgol_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.641667,0.176099,0.613201,0.176081,0.673333,0.189424,0.631250,0.165241,0.441701,0.251341,0.609613,0.170990
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,oneeuro_raw,oneeuro_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.608333,0.193629,0.584669,0.196560,0.638333,0.210209,0.600000,0.179409,0.391828,0.275133,0.580878,0.187673
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,kalman_raw,kalman_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.613889,0.170760,0.576534,0.181830,0.612421,0.205043,0.606250,0.159467,0.401305,0.245717,0.571905,0.177465
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.708333,0.189113,0.672341,0.207339,0.714365,0.210303,0.712500,0.185826,0.567505,0.275499,0.683958,0.205854
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.638889,0.159571,0.614484,0.155160,0.675556,0.174372,0.631250,0.150390,0.440129,0.228678,0.611890,0.153962
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,moving_average_raw,moving_average_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.661111,0.163771,0.633598,0.169238,0.690833,0.180588,0.650000,0.156125,0.470301,0.236062,0.629256,0.166999
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,savgol_raw,savgol_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.641667,0.176099,0.613201,0.176081,0.673333,0.189424,0.631250,0.165241,0.441701,0.251341,0.609613,0.170990
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,oneeuro_raw,oneeuro_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.608333,0.193629,0.584669,0.196560,0.638333,0.210209,0.600000,0.179409,0.391828,0.275133,0.580878,0.187673
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,kalman_raw,kalman_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.613889,0.170760,0.576534,0.181830,0.612421,0.205043,0.606250,0.159467,0.401305,0.245717,0.571905,0.177465
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,svm,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.708333,0.189113,0.672341,0.207339,0.714365,0.210303,0.712500,0.185826,0.567505,0.275499,0.683958,0.205854
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,raw,raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.572222,0.149175,0.539197,0.174469,0.615258,0.222041,0.587500,0.137500,0.359547,0.218740,0.546388,0.165287
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,moving_average_raw,moving_average_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.586111,0.176099,0.562464,0.198118,0.620694,0.236176,0.600000,0.170477,0.378525,0.266894,0.566105,0.193243
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,savgol_raw,savgol_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.577778,0.159474,0.552530,0.185952,0.619226,0.233685,0.593750,0.152454,0.368304,0.239991,0.557013,0.180007
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,oneeuro_raw,oneeuro_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.591667,0.156421,0.566534,0.174927,0.637500,0.204531,0.606250,0.149348,0.391691,0.231033,0.572976,0.167470
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,kalman_raw,kalman_raw,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.588889,0.164242,0.558280,0.175919,0.614722,0.216676,0.600000,0.156125,0.381922,0.243739,0.563274,0.169586
C:\D\projects\Orca robot hand\orca sim\orca_sim\gesture_sequence_dataset_with_smoothing.csv,knn,optimized_full,optimized_full,252,9,8,yes,3,20,0.2,42,0,5.0,scale,3,distance,200,0,"128,64",0.0001,0.001,1200,0.641667,0.208962,0.611988,0.231432,0.654861,0.256366,0.637500,0.205015,0.452833,0.310524,0.614141,0.228829
