classifier,metric,first,second,comparison,mean_difference,std_difference,ci95_difference,positive_repeats,equal_repeats,negative_repeats,wilcoxon_p_raw,cohen_dz,wilcoxon_p_holm,holm_significant_0_05,holm_family
svm,accuracy,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.03739130434782609,0.04269733459892491,0.0191990630886054,17,1,2,0.002211413438930925,0.8535552797049739,0.011057067194654626,yes,svm:accuracy:six_primary_comparisons
svm,macro_f1,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.03562989199797528,0.04115158938178801,0.018504011272807312,18,0,2,0.000850677490234375,0.8438974898639275,0.004253387451171875,yes,svm:macro_f1:six_primary_comparisons
svm,kappa,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.044818049955258024,0.05131237868543491,0.023072859345015916,17,0,3,0.0010166168212890625,0.8513195588285405,0.0050830841064453125,yes,svm:kappa:six_primary_comparisons
knn,accuracy,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.04478260869565217,0.03793088929815591,0.017055807897210975,16,1,3,0.0004250111889352361,1.1507425353240952,0.0021250559446761804,yes,knn:accuracy:six_primary_comparisons
knn,macro_f1,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.048592142409882036,0.045618855226114856,0.02051273897406674,16,0,4,0.0001678466796875,1.0382058394390925,0.00067138671875,yes,knn:macro_f1:six_primary_comparisons
knn,kappa,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.05364669176283391,0.045638543270699695,0.020521591798572675,16,0,4,0.000209808349609375,1.1457054375953197,0.0008392333984375,yes,knn:kappa:six_primary_comparisons
rf,accuracy,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,-0.008695652173913044,0.04339121721695529,0.01951107076507491,8,1,11,0.3752537992139249,-0.19532693219770564,1.0,no,rf:accuracy:six_primary_comparisons
rf,macro_f1,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,-0.01085477695283309,0.04529779712628666,0.020368373646075882,8,0,12,0.26109886169433594,-0.23356384930392143,1.0,no,rf:macro_f1:six_primary_comparisons
rf,kappa,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,-0.010414467508816172,0.052024647017801906,0.023393134246894078,9,0,11,0.4304332733154297,-0.1951145828714456,1.0,no,rf:kappa:six_primary_comparisons
mlp,accuracy,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.018260869565217396,0.037492280238800156,0.016858585211511595,12,1,7,0.02794205722567768,0.47472423409809383,0.1397102861283884,no,mlp:accuracy:six_primary_comparisons
mlp,macro_f1,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.013498352595480762,0.03809565872159776,0.017129897265679723,13,0,7,0.1893482208251953,0.3453560619684996,0.7573928833007812,no,mlp:macro_f1:six_primary_comparisons
mlp,kappa,compact_optimized_action7,joint_angle11,compact_optimized_action7_minus_joint_angle11,0.021823256566599142,0.045181634910102964,0.020316140743531205,12,0,8,0.04405403137207031,0.47078153349665686,0.17621612548828125,no,mlp:kappa:six_primary_comparisons
